District/Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969
Gurdaspur,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,210,NA,689,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,7,NA,NA,NA,29,121,3,NA,NA,26,NA,NA
Pathankot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,42,NA,412,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,9,NA,NA,1,1372,44,NA,14,14,NA,1,NA
Tarn Taran,NA,NA,13,NA,2361,NA,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,NA,NA,NA,5,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,1,NA,NA,NA,2,NA,1,NA,62,NA,NA,NA,NA,NA,NA,NA
Jalandhar,NA,NA,1,2,NA,17,20,52,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,88,NA,NA,1,NA,NA,NA,NA,1256,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,25,25,NA,NA,NA
SBS Nagar,NA,NA,NA,NA,4,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,NA,NA,NA,NA,NA,1,1,1,7,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA,35,NA,NA,NA,NA,NA,NA,NA,269,NA,16,NA,8,17,NA,1,63,1,NA,NA,NA,NA,1,4,NA
Rupnagar,3,NA,NA,NA,NA,NA,NA,3,NA,1,NA,4,6,6,NA,NA,NA,1,NA,NA,NA,NA,4,NA,144,NA,NA,87,NA,NA,NA,2,5,NA,5,NA,7,NA,NA,59,29,NA,1,NA,NA,NA,NA,NA,NA
SAS Nagar,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
