District/Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,NA,2,NA,358,495,495,26,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965,14048,NA,36763,NA,NA,NA,NA,NA,NA,4713,9185,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,5,5,2,NA
Pathankot,NA,73,37,36,NA,127,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,1,3,1694,1213,58,NA,NA,NA,94,42,52,NA,NA,NA,NA,NA,3,NA,NA,778,12354,NA,22078,65,NA,56,NA,NA,NA,47,281,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,51,51,44,44,40,NA
Tarn Taran,4,NA,56,NA,735,NA,24904,12,4105,4105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,NA,NA,NA,16,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,4162,NA,7827,1944,NA,1445,NA,NA,NA,NA,717522,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,5,5,5,5
Jalandhar,NA,NA,4,2,3,1319,97,NA,275,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11012,NA,4027,NA,NA,207,NA,NA,NA,NA,83781,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,12,NA,NA,NA,NA
SBS Nagar,NA,NA,NA,,1,NA,716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,NA,NA,,1,NA,32,32,382,5401,NA,2,1,NA,NA,NA,NA,NA,NA,3,NA,NA,7081,NA,11521,10,NA,NA,NA,NA,NA,9,32580,NA,NA,NA,NA,NA,NA,NA,NA,66,66,66,69,71,108,119,138,123
Rupnagar,2,NA,NA,,NA,NA,6,19,1,70,182,3,1,NA,2,NA,NA,9,NA,521,NA,169,1430,NA,10107,NA,NA,1614,NA,NA,NA,494,684,NA,NA,NA,NA,NA,NA,NA,NA,17,17,25,25,25,23,24,30,42
SAS Nagar,NA,NA,NA,,1,NA,1,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
