District/Year,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Gurdaspur,NA,97,NA,2693,4262,4262,299,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6870,48115,NA,NA,NA,NA,NA,NA,NA,NA,3100,7362,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,5,5,2,NA
Pathankot,NA,NA,998,998,NA,705800,851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amritsar,NA,NA,24,11,NA,NA,NA,NA,NA,NA,807,68,173,NA,NA,NA,NA,NA,NA,NA,NA,2827,50279,NA,NA,1950,NA,NA,NA,NA,NA,32,1002,NA,NA,NA,NA,NA,NA,NA,NA,51,51,51,51,51,44,44,40,NA
Tarn Taran,NA,NA,NA,NA,NA,NA,12452,120,34462,34462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapurthala,NA,NA,NA,NA,408,NA,NA,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17048,NA,NA,58320,NA,24900,NA,NA,NA,NA,81359,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,10,5,5,5,5
Jalandhar,NA,NA,NA,85,13,322,7493,NA,NA,559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30388,NA,NA,NA,NA,4260,NA,NA,NA,NA,730000,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,12,NA,NA,NA,NA
SBS Nagar,NA,NA,NA,NA,22,NA,2930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hoshiarpur,NA,NA,NA,NA,9,NA,382,382,2565,15085,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,27781,NA,NA,300,NA,NA,NA,NA,NA,30,126517,NA,NA,NA,NA,NA,NA,NA,NA,66,66,66,69,71,108,119,138,123
Rupnagar,983,NA,NA,NA,NA,NA,53000,129,10,287,364,10,2,NA,300,NA,NA,800,NA,1551,NA,640,4567,NA,NA,166890,NA,1200,NA,NA,NA,962,1000,NA,NA,NA,NA,NA,NA,NA,NA,17,17,25,25,25,23,24,30,42
SAS Nagar,NA,NA,NA,NA,8,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludhiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,23304,NA,NA,NA,NA,11088,NA,NA,NA,NA,20862,NA,NA,NA,NA,NA,NA,NA,NA,21,21,21,21,21,NA,NA,NA,NA
Ferozepur,NA,251,NA,340,14723,NA,32083,1685,13474,13474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20000,NA,46675,NA,NA,166890,NA,9759,NA,NA,NA,1055,26900,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,18,19,4,4,4,4
Fazilka,158,NA,581,133801,55023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Faridkot,NA,NA,NA,NA,,13334,NA,NA,NA,NA,2249,NA,NA,NA,NA,NA,NA,NA,NA,NA,7366,NA,70267,NA,NA,NA,NA,NA,NA,NA,NA,14828,231881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Muktsar Sahib,1507,1056,NA,NA,124721,103944,185511,394,NA,1892,NA,360,NA,3640,3640,NA,NA,NA,NA,414,50447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moga,NA,NA,NA,334,317,70,NA,932,NA,2008,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
