Location,Year,Min of Date,Max of Date,Sum of Precip cm,Sum of Runoff cm,Monsoon/Not,Cattle Lost (Number),Crop Value (1000 Rupees),Houses Damaged (Number),Houses Damaged - Value (1000 Rupees),HumanLivesLost (Number),Population Affected (Number)
Amritsar,2015,3/1/15,4/6/15,14.018,24.1353,Non Monsoon,,304,1,24,,
Amritsar,2019,2/14/19,2/14/19,5.486,9.2782,Non Monsoon,,,,,,
Amritsar,2008,6/15/08,8/13/08,28.945,59.4166,Monsoon,,,,,8,
Amritsar,2009,7/24/09,9/3/09,11.573,9.2854,Monsoon,,74703,,,,
Amritsar,2010,7/28/10,9/22/10,32.866,25.6845,Monsoon,,,,,,
Amritsar,2011,6/1/11,9/16/11,96.37,252.89359,Monsoon,,2845,58,,6,
Amritsar,2012,8/5/12,9/18/12,79.456,142.8583,Monsoon,,38440,1213,,13,
Amritsar,2013,6/12/13,8/20/13,76.853,286.79129,Monsoon,,5000,1694,,1314,
Amritsar,2014,7/1/14,9/6/14,54.75,125.895,Monsoon,,31462,3,11,9,397294
Amritsar,2015,6/1/15,9/22/15,53.8,146.0011,Monsoon,,304,1,24,,
Amritsar,2016,6/16/16,8/27/16,21.597,51.0313,Monsoon,,,,,,
Amritsar,2017,6/30/17,9/2/17,3.878,1.3312,Monsoon,,,,,,
Amritsar,2018,6/9/18,9/28/18,32.725,36.615,Monsoon,,,,,,
Amritsar,2019,7/13/19,9/27/19,29.54,45.6235,Monsoon,,,,,,
Barnala,2008,6/11/08,9/19/08,33.962,27.824,Monsoon,,,,,,
Barnala,2009,8/18/09,9/11/09,15.853,13.312,Monsoon,,887,,,,
Barnala,2010,6/7/10,9/23/10,64.713,56.4326,Monsoon,,22,,,,
Barnala,2011,6/27/11,9/16/11,120.617,350.27921,Monsoon,8,22000,2,4000,,
Barnala,2012,8/14/12,9/14/12,25.643,14.7209,Monsoon,,,,,,
Barnala,2013,6/13/13,9/24/13,38.104,47.9675,Monsoon,,,10,122,,
Barnala,2014,7/30/14,9/5/14,11.757,4.8308,Monsoon,,,,170,,
Barnala,2015,6/1/15,9/22/15,16.126,9.6366,Monsoon,,,,,,
Barnala,2016,8/23/16,8/25/16,6.824,7.0663,Monsoon,,,,,,
Barnala,2017,8/29/17,9/1/17,5.899,3.6193,Monsoon,,146,,,,
Barnala,2018,6/28/18,9/24/18,28.338,19.0814,Monsoon,,,,,,
Barnala,2019,6/25/19,9/21/19,35.058,65.55571,Monsoon,,,,,,
Bathinda,2008,6/20/08,9/19/08,26.055,13.6083,Monsoon,,45808,13,110,2,
Bathinda,2009,7/11/09,9/11/09,9.321,3.1167,Monsoon,,,2,15,,
Bathinda,2010,6/7/10,9/23/10,51.355,35.6198,Monsoon,,,4,7,,
Bathinda,2011,6/28/11,9/16/11,107.073,281.4414,Monsoon,10,564500,680,1776,6,
Bathinda,2012,7/20/12,9/11/12,19.437,8.2019,Monsoon,,,,,,
