date,source,sentence,topic,people (keyword count in url),crops (keyword count in url),homes (keyword count in url),money (keyword count in url),importance (keyword count in url),location
9/14/19,https://www.tribuneindia.com/news/punjab/jalandhar-kapurthala-losses-pegged-at-rs-526-cr/832145.html,"ush({ });  in kapurthala, crop losses have been pegged at rs 160 crore which includes rs 60 crore for bandh repairs and rs 85 lakh for damaged roads and houses, including 1,618 cattle deaths",death,2,58,49,4,113,"jalandhar, kapurthala"
9/12/19,https://www.tribuneindia.com/news/punjab/punjab-govt-centre-team-meet-to-discuss-flood-damage-in-11-districts/831226.html,"initial assessment  6 persons died  1,400 injured 2,400 evacuated 1,530 families provided relief rs 506-crore paddy crop damaged ",death,15,25,41,0,81,"amritsar, ferozepur, gurdaspur, jalandhar, kapurthala, ludhiana, moga, pathankot, sbs nagar, tarn taran"
9/3/19,https://www.tribuneindia.com/news/punjab/rs-4-lakh-for-kin-of-victims/826745.html,"our correspondent fazilka, september 2  family members of two persons, including a woman who had died during recent floods in fazilka district, have been compensated by the district administration",death,10,22,20,2,54,fazilka
9/2/19,https://www.tribuneindia.com/news/punjab/power-restored-to-108-villages/826302.html," as many as 25,000 personnel from different departments have been given deadlines to complete the relief, rehabilitation and restoration tasks",death,4,5,17,0,26,jalandhar
8/27/19,https://www.tribuneindia.com/news/punjab/distress-calls-turn-pcr-into-flood-helpline/823214.html,"in his desperate call to the pcr at 6.57 pm on august 23, he said death was lurking around",death,4,8,14,0,26,"jalandhar, kapurthala, ludhiana, sas nagar"
8/26/19,https://www.tribuneindia.com/news/punjab/jitters-post-review/822848.html,time is fast running out for the october 31 deadline and so is minister’s patience,death,10,5,6,0,21,"amritsar, fazilka, ferozepur, jalandhar, patiala, sas nagar"
8/26/19,https://www.tribuneindia.com/news/punjab/punjab-seeks-rs-1-000-cr-special-aid-from-centre/822847.html,"a person was feared drowned in the sutlej in fazilka while death of 176 cattle heads and damage to 161 houses had been reported from ropar, said officials",death,11,11,42,0,64,"fazilka, ferozepur, jalandhar, kapurthala, ludhiana, patiala, sas nagar, sbs nagar"
8/26/19,https://www.tribuneindia.com/news/punjab/crops-on-6-000-acres-damaged-in-fazilka/822777.html,"ush({ });  appealing to the residents to stay away from gushing floodwaters, he said the administration had recommended compensation for 17-year-old jagjit singh who drowned two days ago in dhandi kadim village",death,5,31,23,1,60,"fazilka, ferozepur, sas nagar"
8/25/19,https://www.tribuneindia.com/news/punjab/100-crop-damage-in-jalandhar-kapurthala-districts-say-farmers/822274.html,"in phillaur, crops died in a day while lohian has been submerged for six days",death,6,106,53,2,167,"jalandhar, kapurthala"
8/24/19,https://www.tribuneindia.com/news/punjab/18-year-old-drowns-in-fazilka-dist-search-begins/821759.html,"18-year-old drowns in fazilka dist, search begins",death,5,4,5,0,14,"bathinda, fazilka"
8/24/19,https://www.tribuneindia.com/news/punjab/18-year-old-drowns-in-fazilka-dist-search-begins/821759.html,"our correspondent fazilka, august 23  an 18-year-old youth allegedly drowned in flood water near dhandi kadim village of jalalabad subdivision in fazilka district on friday afternoon",death,5,4,5,0,14,"bathinda, fazilka"
8/24/19,https://www.tribuneindia.com/news/punjab/18-year-old-drowns-in-fazilka-dist-search-begins/821759.html," the deceased, identified as jagjit singh of dhandi kadim village of jalalabad subdivision in fazilka district, had gone to the fields and drowned in the gushing flood water in the creek of the swollen sutlej around 12.30 pm",death,5,4,5,0,14,"bathinda, fazilka"
8/23/19,https://www.tribuneindia.com/news/punjab/cemeteries-flooded-villagers-cremate-body-along-highway/821302.html,"deepkamal kaur tribune news service gidderpindi, august 22  such has become the plight of flood-hit villages that they are being forced to cremate the dead along a highway as all cemeteries in villages have been inundated",death,15,3,12,0,30,punjab
8/21/19,https://www.tribuneindia.com/news/punjab/flooded-ropar-villages-left-high-and-dry/820215.html," rs 4-lakh ex gratia for toddler’s kin  the district administration has announced a relief of rs 4 lakh for the parents of a three-year-old girl, sundari, who got drowned in flood water at nurpur bedi",death,9,6,32,0,47,punjab
8/19/19,https://www.tribuneindia.com/news/punjab/capt-amarinder-earmarks-rs-100-cr-for-flood-relief/819785.html,"  captain amarinder also expressed grief over the death of three people due to roof collapse in ludhiana district, the statement said",death,7,5,13,0,25,"ludhiana, sas nagar"
8/19/19,https://www.tribuneindia.com/news/punjab/capt-amarinder-earmarks-rs-100-cr-for-flood-relief/819785.html,"heavy rain and resultant floods have killed some 30 people in the states of punjab, haryana, himachal pradesh and uttarakhand over the past few days",death,7,5,13,0,25,"ludhiana, sas nagar"
8/18/19,https://www.tribuneindia.com/news/punjab/imd-says-rain-will-weaken-in-24-hours/819318.html," incessant rain and strong winds in himachal pradesh caused flood and landslides, killing at least nine people and leading to damage to infrastructure and property over the last two days",death,4,5,5,0,14,punjab
8/18/19,https://www.tribuneindia.com/news/punjab/imd-says-rain-will-weaken-in-24-hours/819318.html,reports said some 38 people have been killed in rain related incidents in uttarakhand,death,4,5,5,0,14,punjab
8/19/19,https://www.tribuneindia.com/news/punjab/flood-threat-rises-in-punjab-haryana-authorities-go-into-huddle/819286.html,"surjit singh (35), his wife baljinder kaur (32) and their son gurpreet singh (9) were killed in the incident on saturday",death,19,8,21,1,49,"fatehgarh sahib, gurdaspur, ludhiana, pathankot, patiala, sas nagar, sbs nagar"
8/17/19,https://www.tribuneindia.com/news/punjab/torrential-rain-lashes-northern-states-alert-sounded-in-punjab/818855.html,"ndrf personnel retrieved the body of a girl who drowned in krishna district, taking the death toll to two in the state",death,17,13,16,0,46,"amritsar, ludhiana, sas nagar"
8/17/19,https://www.tribuneindia.com/news/punjab/torrential-rain-lashes-northern-states-alert-sounded-in-punjab/818855.html," heavy rains also disrupted normal life in jammu, where a 47-year-old man was feared drowned while 15 people were rescued following flash floods in kathua and samba districts",death,17,13,16,0,46,"amritsar, ludhiana, sas nagar"
7/15/19,https://www.tribuneindia.com/news/punjab/visa-free-travel-for-5-000-pilgrims-daily/802215.html,will meet deadlines: mha  october 31:  rs 500-cr passenger terminal complex at dera baba nanak to be completed september 30: four-lane road from gurdaspur-amritsar highway to zero point to be ready november: 550th birth anniversary of guru nanak dev is by when the govt wants infra to be in place ,death,4,0,3,1,8,"amritsar, gurdaspur, sas nagar"
7/5/19,https://www.tribuneindia.com/news/punjab/pak-firm-on-causeway-likely-to-push-deadline/797199.html,"ravi dhaliwal  tribune news service  gurdaspur, july 4  the pakistan government’s insistence on constructing a causeway, instead of a bridge, on its side as a part of the kartarpur corridor project may indefinitely push back the october 31 deadline to complete the project",death,5,0,2,0,7,gurdaspur
6/23/19,https://www.tribuneindia.com/news/punjab/pak-corridor-road-is-not-all-weather/791587.html,"mukesh ranjan tribune news service new delhi, june 22  while work on the indian side of the much-awaited kartarpur corridor is likely to be completed ahead of the october 31 deadline, officials today indicated the pilgrimage on the pakistan side may see seasonal interruptions given the kind of infrastructure being raised there",death,2,0,3,1,6,gurdaspur
6/14/19,https://www.tribuneindia.com/news/punjab/kin-of-7-martyrs-get-jobs-on-compassionate-grounds/787429.html," while carrying out the sixth sortie, his helicopter crashed and he died",death,5,3,4,0,12,"gurdaspur, moga, pathankot, patiala, sangrur, tarn taran"
6/14/19,https://www.tribuneindia.com/news/punjab/kin-of-7-martyrs-get-jobs-on-compassionate-grounds/787429.html, the remaining six died in the line of duty while deployed in jammu and kashmir,death,5,3,4,0,12,"gurdaspur, moga, pathankot, patiala, sangrur, tarn taran"
6/14/19,https://www.tribuneindia.com/news/punjab/kin-of-7-martyrs-get-jobs-on-compassionate-grounds/787429.html,"he was killed during an operation in j&k’s kupwara district in september 2018, in which five terrorists were eliminated",death,5,3,4,0,12,"gurdaspur, moga, pathankot, patiala, sangrur, tarn taran"
6/13/19,https://www.tribuneindia.com/news/punjab/punjab-govt-to-give-jobs-to-relatives-of-7-armed-forces-personnel-killed-in-line-of-duty/787411.html,punjab govt to give jobs to relatives of 7 armed forces personnel killed in line of duty,death,13,4,2,0,19,"gurdaspur, moga, pathankot, sangrur"
6/13/19,https://www.tribuneindia.com/news/punjab/punjab-govt-to-give-jobs-to-relatives-of-7-armed-forces-personnel-killed-in-line-of-duty/787411.html,"chandigarh, june 13  the punjab government has decided to give jobs to the dependents of seven armed forces personnel killed in the line of duty, a spokesperson said on thursday",death,13,4,2,0,19,"gurdaspur, moga, pathankot, sangrur"
2/26/19,https://www.tribuneindia.com/news/punjab/refund-rs-37-crore-to-contractors-hc-tells-state/734685.html,justice mahesh grover and justice lalit batra set four-week deadline for the purpose,death,1,1,1,0,3,jalandhar
11/16/18,https://www.tribuneindia.com/news/punjab/two-hc-judges-to-be-sworn-in-today/683811.html, tns motorcyclist diesin road accidentmuktsar: a 40-year-old man died an accident on the jalalabad road here,death,5,2,3,1,11,"sangrur, sri muktsar sahib"
4/16/18,https://www.tribuneindia.com/news/punjab/sewa-joins-admn-to-improve-sanitation/574487.html,ush({ });it is pertinent to mention here that 42 people (22 officially) died in gandhi camp area in 2012 after gastroenteritis broke out,death,7,0,1,0,8,gurdaspur
4/1/18,https://www.tribuneindia.com/news/punjab/three-killed-as-bike-hits-tree/566939.html,"abohar, march 31  three youths were killed when the motorcycle they were riding, while returning to their native pakki tibbi village, hit a roadside tree on the highway, about 8 km from abohar, on friday night",death,7,6,5,0,18,faridkot
4/1/18,https://www.tribuneindia.com/news/punjab/three-killed-as-bike-hits-tree/566939.html,"biker dies in mishap  a farmer, nirmal singh (60) of jhurarkhera village, died and his son amarjit singh (35) was grievously injured as their motorcycle collided with an oil tanker on the city bypass here on saturday afternoon",death,7,6,5,0,18,faridkot
3/15/18,https://www.tribuneindia.com/news/punjab/more-fury-than-fire-image-takes-a-hit/557888.html,"— capt amarinder singh, handles transport dept  policing all is well, till it goes wrong what’s done  police busted a gang of alleged khalistan sympathisers suspected to have carried out targeted killings in recent years",death,30,76,15,11,132,"amritsar, bathinda, jalandhar, ludhiana, moga, pathankot, patiala, sas nagar, sbs nagar, tarn taran"
3/2/18,https://www.tribuneindia.com/news/punjab/pulanwala-baba-gifts-another-bridge/552088.html," sarpanch davinder singh, recalling the miseries of villagers, said seven years ago a local girl had died when she could not be taken to hospital in time due to flood in the river",death,17,1,16,1,35,punjab
11/8/17,https://www.tribuneindia.com/news/punjab/govt-all-fogged-up-on-road-safety-measures/494182.html,"in these accidents, 578 persons were killed and more than 600 injured every year",death,4,1,1,0,6,punjab
8/7/17,https://www.tribuneindia.com/news/punjab/how-centre-state-failed-farmers-on-insurance/448344.html,"officially, nearly 20 per cent of the cropped area was damaged in floods that year as compared to 13 per cent and 10 per cent in 2009 (15 dead) and 1988 (200 dead), respectively",death,5,121,20,12,158,"kapurthala, ludhiana"
8/7/17,https://www.tribuneindia.com/news/punjab/how-centre-state-failed-farmers-on-insurance/448344.html,"would the company only settle claims if 40 people died or 40 vehicles were involved in a pile-up? needless to say, that was the end of it, he added",death,5,121,20,12,158,"kapurthala, ludhiana"
7/14/17,https://www.tribuneindia.com/news/punjab/two-gurdaspur-girls-drown-while-attempting-to-click-selfie/436583.html,"ravi dhaliwal       tribune news service gurdaspur, july 14 two young girls from gurdaspur drowned while allegedly attempting to click a selfie from the edge of a bridge on friday morning",death,9,0,3,0,12,gurdaspur
6/28/17,https://www.tribuneindia.com/news/punjab/complaints-flood-panel-probing-excesses-during-akali-bjp-rule/428654.html,"“we have decided to accept complaints even after june 30, the deadline for filing complaints,” said an official",death,3,0,1,0,4,sas nagar
8/25/15,https://www.tribuneindia.com/news/crime/boy-s-death-four-booked/124069.html,boy’s death: four booked,death,11,4,4,0,19,"amritsar, sas nagar, tarn taran"
