Location,Month,Monsoon_Avg,,,,,,,,
Amritsar,6,3.57,,,,,,,,
Amritsar,7,20.25,,,,,,,,
Amritsar,8,17.67,,,,,,,,
Amritsar,9,9.48,,,,,,,,
Barnala,6,4.34,,,,,,,,
Barnala,7,18.03,,,,,,,,
Barnala,8,15.62,,,,,,,,
Barnala,9,10.38,,,,,,,,
Bathinda,6,2.91,,,,,,,,
Bathinda,7,11.42,,,,,,,,
Bathinda,8,12.06,,,,,,,,
Bathinda,9,7.15,,,,,,,,
Faridkot,6,3.33,,,,,,,,
Faridkot,7,13.21,,,,,,,,
Faridkot,8,10.79,,,,,,,,
Faridkot,9,7.56,,,,,,,,
Fatehgarh Sahib,6,4.77,,,,,,,,
Fatehgarh Sahib,7,22.73,,,,,,,,
Fatehgarh Sahib,8,16.79,,,,,,,,
Fatehgarh Sahib,9,10.61,,,,,,,,
Fazilka,6,2.38,,,,,,,,
Fazilka,7,10.8,,,,,,,,
Fazilka,8,10.1,,,,,,,,
Fazilka,9,6.71,,,,,,,,
Ferozepur,6,2.91,,,,,,,,
Ferozepur,7,12.63,,,,,,,,
Ferozepur,8,10.62,,,,,,,,
Ferozepur,9,7.93,,,,,,,,
Gurdaspur,6,4.79,,,,,,,,
Gurdaspur,7,30.13,,,,,,,,
Gurdaspur,8,27.79,,,,,,,,
Gurdaspur,9,13.01,,,,,,,,
Hoshiarpur,6,7.12,,,,,,,,
Hoshiarpur,7,27.59,,,,,,,,
Hoshiarpur,8,23.64,,,,,,,,
Hoshiarpur,9,13.61,,,,,,,,
Jalandhar,6,4.55,,,,,,,,
Jalandhar,7,20.18,,,,,,,,
Jalandhar,8,18.39,,,,,,,,
Jalandhar,9,12.31,,,,,,,,
Kapurthala,6,3.41,,,,,,,,
Kapurthala,7,13.09,,,,,,,,
Kapurthala,8,11.96,,,,,,,,
Kapurthala,9,7.13,,,,,,,,
Ludhiana,6,4.37,,,,,,,,
Ludhiana,7,19.57,,,,,,,,
Ludhiana,8,17.82,,,,,,,,
Ludhiana,9,11.05,,,,,,,,
Moga,6,3.01,,,,,,,,
Moga,7,14.08,,,,,,,,
Moga,8,13.25,,,,,,,,
Moga,9,8.72,,,,,,,,
Pathankot,6,4.79,,,,,,,,
Pathankot,7,30.13,,,,,,,,
Pathankot,8,27.79,,,,,,,,
Pathankot,9,13.01,,,,,,,,
Patiala,6,4.61,,,,,,,,
Patiala,7,19.81,,,,,,,,
Patiala,8,18.87,,,,,,,,
Patiala,9,11.45,,,,,,,,
Roopnagar,6,5.76,,,,,,,,
Roopnagar,7,25.57,,,,,,,,
Roopnagar,8,22.04,,,,,,,,
Roopnagar,9,13.6,,,,,,,,
Sangrur,6,4.34,,,,,,,,
Sangrur,7,18.03,,,,,,,,
Sangrur,8,15.62,,,,,,,,
Sangrur,9,10.38,,,,,,,,
SAS Nagar,6,4.61,,,,,,,,
SAS Nagar,7,19.81,,,,,,,,
SAS Nagar,8,18.87,,,,,,,,
SAS Nagar,9,11.45,,,,,,,,
SBS Nagar,6,6.59,,,,,,,,
SBS Nagar,7,27.47,,,,,,,,
SBS Nagar,8,23.86,,,,,,,,
SBS Nagar,9,14.94,,,,,,,,
Sri Muktsar Sahib,6,2.38,,,,,,,,
Sri Muktsar Sahib,7,10.8,,,,,,,,
Sri Muktsar Sahib,8,10.1,,,,,,,,
Sri Muktsar Sahib,9,6.71,,,,,,,,
Tarn Taran,6,3.57,,,,,,,,
Tarn Taran,7,20.25,,,,,,,,
Tarn Taran,8,17.67,,,,,,,,
Tarn Taran,9,9.48,,,,,,,,
Mansa,6,28.6,,,,,,,,
Mansa,7,118.1,,,,,,,,
Mansa,8,135.5,,,,,,,,
Mansa,9,78.8,,,,,,,,
