Location,Year,Min of Date,Max of Date,Sum of Precip,Sum of Runoff,Monsoon/Not
Amritsar,2015,2015-03-01,2015-04-06,14.018,24.1353,Not Monsoon
Amritsar,2019,2019-02-14,2019-02-14,5.486,9.2782,Not Monsoon
Faridkot,2013,2013-04-25,2013-04-25,5.05,12.4549,Not Monsoon
Fatehgarh Sahib,2013,2013-01-17,2013-02-05,11.957,14.8543,Not Monsoon
Fatehgarh Sahib,2019,2019-02-07,2019-02-07,7.309,6.4976,Not Monsoon
Ferozepur,2019,2019-05-17,2019-05-17,7.914,24.6859,Not Monsoon
Gurdaspur,2009,2009-02-10,2009-02-10,5.856,0.7212,Not Monsoon
Gurdaspur,2011,2011-04-17,2011-04-17,9.197,26.7117,Not Monsoon
Gurdaspur,2015,2015-03-01,2015-04-06,16.869,20.668,Not Monsoon
Gurdaspur,2019,2019-02-07,2019-02-14,12.846,11.8608,Not Monsoon
Hoshiarpur,2013,2013-10-12,2013-10-12,7.798,31.7471,Not Monsoon
Hoshiarpur,2015,2015-03-01,2015-04-06,11.315,22.7796,Not Monsoon
Hoshiarpur,2019,2019-02-07,2019-05-17,13.687,24.2428,Not Monsoon
Jalandhar,2013,2013-12-12,2013-12-12,5.217,0.894,Not Monsoon
Kapurthala,2013,2013-10-12,2013-10-12,5.875,13.5199,Not Monsoon
Kapurthala,2015,2015-04-06,2015-04-06,10.709,26.7465,Not Monsoon
Kapurthala,2019,2019-05-17,2019-05-17,9.654,30.9684,Not Monsoon
Moga,2013,2013-10-12,2013-10-12,7.689,22.8183,Not Monsoon
Moga,2019,2019-05-17,2019-05-17,8.433,26.513,Not Monsoon
Pathankot,2008,2008-01-08,2008-01-08,5.398,1.32312,Not Monsoon
Pathankot,2009,2009-01-18,2009-02-10,10.059,2.14464,Not Monsoon
Pathankot,2010,2010-02-08,2010-02-08,7.33,2.554,Not Monsoon
Pathankot,2011,2011-02-07,2011-02-07,5.024,3.0507,Not Monsoon
Pathankot,2014,2014-05-12,2014-05-12,5.197,0,Not Monsoon
Pathankot,2017,2017-05-03,2017-12-11,11.806,2.1092,Not Monsoon
Pathankot,2019,2019-02-07,2019-02-14,13.41,9.0387,Not Monsoon
Patiala,2014,2014-01-22,2014-01-22,5.046,5.9048,Not Monsoon
Roopnagar,2013,2013-02-05,2013-02-05,6.39,8.5972,Not Monsoon
Roopnagar,2014,2014-02-14,2014-02-14,6.256,6.5806,Not Monsoon
Roopnagar,2019,2019-02-07,2019-02-07,7.025,8.5942,Not Monsoon
Sangrur,2013,2013-01-17,2013-01-17,5.673,6.0177,Not Monsoon
SAS Nagar,2013,2013-02-05,2013-02-05,7.47,10.8774,Not Monsoon
SAS Nagar,2014,2014-02-14,2014-02-14,8.397,8.8418,Not Monsoon
SAS Nagar,2019,2019-02-07,2019-02-07,8.45,11.7789,Not Monsoon
Sri Muktsar Sahib,2013,2013-04-25,2013-04-25,5.05,12.4549,Not Monsoon
Tarn Taran,2015,2015-04-06,2015-04-06,10.634,24.8501,Not Monsoon
Tarn Taran,2019,2019-05-17,2019-05-17,6.646,15.0203,Not Monsoon
Amritsar,2008,2008-06-15,2008-08-13,28.945,59.4166,Monsoon
Amritsar,2009,2009-07-24,2009-09-03,11.573,9.2854,Monsoon
Amritsar,2010,2010-07-28,2010-09-22,32.866,25.6845,Monsoon
Amritsar,2011,2011-06-01,2011-09-16,96.37,252.89359,Monsoon
Amritsar,2012,2012-08-05,2012-09-18,79.456,142.8583,Monsoon
Amritsar,2013,2013-06-12,2013-08-20,76.853,286.79129,Monsoon
Amritsar,2014,2014-07-01,2014-09-06,54.75,125.895,Monsoon
Amritsar,2015,2015-06-01,2015-09-22,53.8,146.0011,Monsoon
Amritsar,2016,2016-06-16,2016-08-27,21.597,51.0313,Monsoon
Amritsar,2017,2017-06-30,2017-09-02,3.878,1.3312,Monsoon
Amritsar,2018,2018-06-09,2018-09-28,32.725,36.615,Monsoon
Amritsar,2019,2019-07-13,2019-09-27,29.54,45.6235,Monsoon
Barnala,2008,2008-06-11,2008-09-19,33.962,27.824,Monsoon
Barnala,2009,2009-08-18,2009-09-11,15.853,13.312,Monsoon
Barnala,2010,2010-06-07,2010-09-23,64.713,56.4326,Monsoon
Barnala,2011,2011-06-27,2011-09-16,120.617,350.27921,Monsoon
Barnala,2012,2012-08-14,2012-09-14,25.643,14.7209,Monsoon
Barnala,2013,2013-06-13,2013-09-24,38.104,47.9675,Monsoon
Barnala,2014,2014-07-30,2014-09-05,11.757,4.8308,Monsoon
Barnala,2015,2015-06-01,2015-09-22,16.126,9.6366,Monsoon
Barnala,2016,2016-08-23,2016-08-25,6.824,7.0663,Monsoon
Barnala,2017,2017-08-29,2017-09-01,5.899,3.6193,Monsoon
Barnala,2018,2018-06-28,2018-09-24,28.338,19.0814,Monsoon
Barnala,2019,2019-06-25,2019-09-21,35.058,65.55571,Monsoon
Bathinda,2008,2008-06-20,2008-09-19,26.055,13.6083,Monsoon
Bathinda,2009,2009-07-11,2009-09-11,9.321,3.1167,Monsoon
Bathinda,2010,2010-06-07,2010-09-23,51.355,35.6198,Monsoon
Bathinda,2011,2011-06-28,2011-09-16,107.073,281.4414,Monsoon
Bathinda,2012,2012-07-20,2012-09-11,19.437,8.2019,Monsoon
Bathinda,2013,2013-08-10,2013-09-24,25.466,13.1967,Monsoon
Bathinda,2014,2014-07-30,2014-09-05,12.166,5.9865,Monsoon
Bathinda,2015,2015-06-01,2015-09-22,10.865,5.421,Monsoon
Bathinda,2016,2016-08-23,2016-08-25,3.073,1.4091,Monsoon
Bathinda,2017,2017-06-29,2017-09-01,5.455,1.0537,Monsoon
Bathinda,2018,2018-06-28,2018-09-23,10.942,6.545,Monsoon
Bathinda,2019,2019-07-31,2019-09-21,22.115,34.0584,Monsoon
Faridkot,2008,2008-06-29,2008-08-15,17.431,6.5752,Monsoon
Faridkot,2009,2009-08-31,2009-09-11,4.837,2.7784,Monsoon
Faridkot,2010,2010-07-26,2010-09-22,48.511,50.8997,Monsoon
Faridkot,2011,2011-06-28,2011-09-16,121.759,362.6308,Monsoon
Faridkot,2012,2012-07-20,2012-09-09,22.434,11.0872,Monsoon
Faridkot,2013,2013-06-13,2013-09-24,28.945,20.7358,Monsoon
Faridkot,2014,2014-07-23,2014-09-05,22.612,27.6797,Monsoon
Faridkot,2015,2015-06-01,2015-09-22,18.724,34.5738,Monsoon
Faridkot,2016,2016-08-25,2016-08-27,2.539,0.5348,Monsoon
Faridkot,2017,2017-08-29,2017-09-01,3.526,0.9096,Monsoon
Faridkot,2018,2018-06-28,2018-09-23,8.955,3.8717,Monsoon
Faridkot,2019,2019-08-01,2019-09-29,15.127,12.8787,Monsoon
Fatehgarh Sahib,2008,2008-06-06,2008-09-20,133.113,237.4227,Monsoon
Fatehgarh Sahib,2009,2009-07-17,2009-09-11,49.048,58.6553,Monsoon
Fatehgarh Sahib,2010,2010-06-07,2010-09-23,118.306,282.4813,Monsoon
Fatehgarh Sahib,2011,2011-06-17,2011-09-16,102.267,298.32079,Monsoon
Fatehgarh Sahib,2012,2012-08-08,2012-09-18,64.671,121.85229,Monsoon
Fatehgarh Sahib,2013,2013-06-12,2013-08-13,57.376,152.4011,Monsoon
Fatehgarh Sahib,2014,2014-06-29,2014-09-04,22.402,19.6344,Monsoon
Fatehgarh Sahib,2015,2015-06-03,2015-09-22,23.56,26.3988,Monsoon
Fatehgarh Sahib,2016,2016-06-15,2016-08-20,13.606,29.6809,Monsoon
Fatehgarh Sahib,2017,2017-06-29,2017-09-01,10.839,8.9813,Monsoon
Fatehgarh Sahib,2018,2018-06-28,2018-09-24,21.754,18.8045,Monsoon
Fatehgarh Sahib,2019,2019-07-14,2019-09-28,27.842,65.9906,Monsoon
Fazilka,2008,2008-06-11,2008-08-12,6.239,1.4134,Monsoon
Fazilka,2010,2010-06-07,2010-09-22,29.133,32.5108,Monsoon
Fazilka,2011,2011-06-01,2011-09-16,58.476,59.7353,Monsoon
Fazilka,2012,2012-08-15,2012-09-09,8.573,2.0648,Monsoon
Fazilka,2013,2013-06-11,2013-09-23,18.333,7.6035,Monsoon
Fazilka,2014,2014-07-02,2014-09-05,39.834,72.99401,Monsoon
Fazilka,2015,2015-06-10,2015-09-22,13.625,14.6979,Monsoon
Fazilka,2016,2016-08-25,2016-08-25,1.817,0.4278,Monsoon
Fazilka,2017,2017-08-31,2017-09-01,2.671,0.423,Monsoon
Fazilka,2018,2018-06-28,2018-09-23,7.445,4.3598,Monsoon
Fazilka,2019,2019-08-02,2019-09-29,8.272,4.6251,Monsoon
Ferozepur,2008,2008-06-11,2008-08-13,16.057,15.1316,Monsoon
Ferozepur,2009,2009-07-18,2009-09-11,9.298,6.4212,Monsoon
Ferozepur,2010,2010-07-26,2010-09-22,27.217,32.3307,Monsoon
Ferozepur,2011,2011-06-01,2011-09-16,102.126,252.207,Monsoon
