Location,Latitude,Longitude,Latitude decimal,Longitude decimal,Econ Data Locations
Amritsar,31° 37' N,74° 55' E,31.617,74.917,Amritsar
Barnala,,,30.382,75.547,Barnala
Bathinda,30° 11' N,75° 00' E,30.183,75,Bathinda
Faridkot,,,30.677,74.758,Faridkot
Fatehgarh Sahib,,,30.681,76.41,Fatehgarh Sahib
Fazilka,30° 25' N,74° 04' E,30.417,74.067,Fazilka
Ferozepur,30° 55' N,74° 40' E,30.917,74.667,Ferozepur
Gurdaspur,32° 03' N,75° 27' E,32.05,75.45,Gurdaspur
Hoshiarpur,31° 32' N,75° 57' E,31.533,75.95,Hoshiarpur
Jalandhar,,,31.2569,75.4432,Jalandhar
Kapurthala,31° 23' N,75° 25' E,31.383,75.417,Kapurthala
Ludhiana,30° 55' N,75° 54' E,30.917,75.9,Ludhiana
Mansa,,,30,75.394,Mansa
Moga,,,30.823,75.173,Moga
Pathankot,32° 17' N,75° 42' E,32.283,75.7,Pathankot
Patiala,30° 2' N,76° 25' E,30.033,76.417,Patiala
Roopnagar,30° 57' N,76° 32' E,30.95,76.533,Rupnagar
Sangrur,30° 12' N,75° 53' E,30.2,75.883,Sangrur
SAS Nagar,,,30.705,76.718,SAS Nagar
SBS Nagar,,,31.091,76.039,SBS Nagar
Sri Muktsar Sahib,30° 30' N,74° 43' E,30.5,74.717,Sri Muktsar Sahib
Tarn Taran,31° 28' N,74° 58' E,31.467,74.967,Tarn Taran
