level_0,index,date,source,sentence,topic
0,0,2019-09-14,https://www.tribuneindia.com/news/punjab/jalandhar-kapurthala-losses-pegged-at-rs-526-cr/832145.html,"ush({ });  in kapurthala, crop losses have been pegged at rs 160 crore which includes rs 60 crore for bandh repairs and rs 85 lakh for damaged roads and houses, including 1,618 cattle deaths",death
1,1,2019-09-12,https://www.tribuneindia.com/news/punjab/punjab-govt-centre-team-meet-to-discuss-flood-damage-in-11-districts/831226.html,"initial assessment  6 persons died  1,400 injured 2,400 evacuated 1,530 families provided relief rs 506-crore paddy crop damaged ",death
2,2,2019-09-03,https://www.tribuneindia.com/news/punjab/rs-4-lakh-for-kin-of-victims/826745.html,"our correspondent fazilka, september 2  family members of two persons, including a woman who had died during recent floods in fazilka district, have been compensated by the district administration",death
3,3,2019-09-02,https://www.tribuneindia.com/news/punjab/power-restored-to-108-villages/826302.html," as many as 25,000 personnel from different departments have been given deadlines to complete the relief, rehabilitation and restoration tasks",death
4,4,2019-08-27,https://www.tribuneindia.com/news/punjab/distress-calls-turn-pcr-into-flood-helpline/823214.html,"in his desperate call to the pcr at 6.57 pm on august 23, he said death was lurking around",death
5,5,2019-08-26,https://www.tribuneindia.com/news/punjab/jitters-post-review/822848.html,time is fast running out for the october 31 deadline and so is minister’s patience,death
6,6,2019-08-26,https://www.tribuneindia.com/news/punjab/punjab-seeks-rs-1-000-cr-special-aid-from-centre/822847.html,"a person was feared drowned in the sutlej in fazilka while death of 176 cattle heads and damage to 161 houses had been reported from ropar, said officials",death
7,7,2019-08-26,https://www.tribuneindia.com/news/punjab/crops-on-6-000-acres-damaged-in-fazilka/822777.html,"ush({ });  appealing to the residents to stay away from gushing floodwaters, he said the administration had recommended compensation for 17-year-old jagjit singh who drowned two days ago in dhandi kadim village",death
8,8,2019-08-25,https://www.tribuneindia.com/news/punjab/100-crop-damage-in-jalandhar-kapurthala-districts-say-farmers/822274.html,"in phillaur, crops died in a day while lohian has been submerged for six days",death
9,9,2019-08-24,https://www.tribuneindia.com/news/punjab/18-year-old-drowns-in-fazilka-dist-search-begins/821759.html,"18-year-old drowns in fazilka dist, search begins",death
10,10,2019-08-24,https://www.tribuneindia.com/news/punjab/18-year-old-drowns-in-fazilka-dist-search-begins/821759.html,"our correspondent fazilka, august 23  an 18-year-old youth allegedly drowned in flood water near dhandi kadim village of jalalabad subdivision in fazilka district on friday afternoon",death
11,11,2019-08-24,https://www.tribuneindia.com/news/punjab/18-year-old-drowns-in-fazilka-dist-search-begins/821759.html," the deceased, identified as jagjit singh of dhandi kadim village of jalalabad subdivision in fazilka district, had gone to the fields and drowned in the gushing flood water in the creek of the swollen sutlej around 12.30 pm",death
12,12,2019-08-23,https://www.tribuneindia.com/news/punjab/cemeteries-flooded-villagers-cremate-body-along-highway/821302.html,"deepkamal kaur tribune news service gidderpindi, august 22  such has become the plight of flood-hit villages that they are being forced to cremate the dead along a highway as all cemeteries in villages have been inundated",death
13,13,2019-08-21,https://www.tribuneindia.com/news/punjab/flooded-ropar-villages-left-high-and-dry/820215.html," rs 4-lakh ex gratia for toddler’s kin  the district administration has announced a relief of rs 4 lakh for the parents of a three-year-old girl, sundari, who got drowned in flood water at nurpur bedi",death
14,14,2019-08-19,https://www.tribuneindia.com/news/punjab/capt-amarinder-earmarks-rs-100-cr-for-flood-relief/819785.html,"  captain amarinder also expressed grief over the death of three people due to roof collapse in ludhiana district, the statement said",death
15,15,2019-08-19,https://www.tribuneindia.com/news/punjab/capt-amarinder-earmarks-rs-100-cr-for-flood-relief/819785.html,"heavy rain and resultant floods have killed some 30 people in the states of punjab, haryana, himachal pradesh and uttarakhand over the past few days",death
16,16,2019-08-18,https://www.tribuneindia.com/news/punjab/imd-says-rain-will-weaken-in-24-hours/819318.html," incessant rain and strong winds in himachal pradesh caused flood and landslides, killing at least nine people and leading to damage to infrastructure and property over the last two days",death
17,17,2019-08-18,https://www.tribuneindia.com/news/punjab/imd-says-rain-will-weaken-in-24-hours/819318.html,reports said some 38 people have been killed in rain related incidents in uttarakhand,death
18,18,2019-08-19,https://www.tribuneindia.com/news/punjab/flood-threat-rises-in-punjab-haryana-authorities-go-into-huddle/819286.html,"surjit singh (35), his wife baljinder kaur (32) and their son gurpreet singh (9) were killed in the incident on saturday",death
19,19,2019-08-17,https://www.tribuneindia.com/news/punjab/torrential-rain-lashes-northern-states-alert-sounded-in-punjab/818855.html,"ndrf personnel retrieved the body of a girl who drowned in krishna district, taking the death toll to two in the state",death
20,20,2019-08-17,https://www.tribuneindia.com/news/punjab/torrential-rain-lashes-northern-states-alert-sounded-in-punjab/818855.html," heavy rains also disrupted normal life in jammu, where a 47-year-old man was feared drowned while 15 people were rescued following flash floods in kathua and samba districts",death
21,21,2019-07-15,https://www.tribuneindia.com/news/punjab/visa-free-travel-for-5-000-pilgrims-daily/802215.html,will meet deadlines: mha  october 31:  rs 500-cr passenger terminal complex at dera baba nanak to be completed september 30: four-lane road from gurdaspur-amritsar highway to zero point to be ready november: 550th birth anniversary of guru nanak dev is by when the govt wants infra to be in place ,death
22,22,2019-07-05,https://www.tribuneindia.com/news/punjab/pak-firm-on-causeway-likely-to-push-deadline/797199.html,"ravi dhaliwal  tribune news service  gurdaspur, july 4  the pakistan government’s insistence on constructing a causeway, instead of a bridge, on its side as a part of the kartarpur corridor project may indefinitely push back the october 31 deadline to complete the project",death
23,23,2019-06-23,https://www.tribuneindia.com/news/punjab/pak-corridor-road-is-not-all-weather/791587.html,"mukesh ranjan tribune news service new delhi, june 22  while work on the indian side of the much-awaited kartarpur corridor is likely to be completed ahead of the october 31 deadline, officials today indicated the pilgrimage on the pakistan side may see seasonal interruptions given the kind of infrastructure being raised there",death
24,24,2019-06-14,https://www.tribuneindia.com/news/punjab/kin-of-7-martyrs-get-jobs-on-compassionate-grounds/787429.html," while carrying out the sixth sortie, his helicopter crashed and he died",death
25,25,2019-06-14,https://www.tribuneindia.com/news/punjab/kin-of-7-martyrs-get-jobs-on-compassionate-grounds/787429.html, the remaining six died in the line of duty while deployed in jammu and kashmir,death
26,26,2019-06-14,https://www.tribuneindia.com/news/punjab/kin-of-7-martyrs-get-jobs-on-compassionate-grounds/787429.html,"he was killed during an operation in j&k’s kupwara district in september 2018, in which five terrorists were eliminated",death
27,27,2019-06-13,https://www.tribuneindia.com/news/punjab/punjab-govt-to-give-jobs-to-relatives-of-7-armed-forces-personnel-killed-in-line-of-duty/787411.html,punjab govt to give jobs to relatives of 7 armed forces personnel killed in line of duty,death
28,28,2019-06-13,https://www.tribuneindia.com/news/punjab/punjab-govt-to-give-jobs-to-relatives-of-7-armed-forces-personnel-killed-in-line-of-duty/787411.html,"chandigarh, june 13  the punjab government has decided to give jobs to the dependents of seven armed forces personnel killed in the line of duty, a spokesperson said on thursday",death
29,29,2019-02-26,https://www.tribuneindia.com/news/punjab/refund-rs-37-crore-to-contractors-hc-tells-state/734685.html,justice mahesh grover and justice lalit batra set four-week deadline for the purpose,death
30,30,2018-11-16,https://www.tribuneindia.com/news/punjab/two-hc-judges-to-be-sworn-in-today/683811.html, tns motorcyclist diesin road accidentmuktsar: a 40-year-old man died an accident on the jalalabad road here,death
31,31,2018-04-16,https://www.tribuneindia.com/news/punjab/sewa-joins-admn-to-improve-sanitation/574487.html,ush({ });it is pertinent to mention here that 42 people (22 officially) died in gandhi camp area in 2012 after gastroenteritis broke out,death
32,32,2018-04-01,https://www.tribuneindia.com/news/punjab/three-killed-as-bike-hits-tree/566939.html,"abohar, march 31  three youths were killed when the motorcycle they were riding, while returning to their native pakki tibbi village, hit a roadside tree on the highway, about 8 km from abohar, on friday night",death
33,33,2018-04-01,https://www.tribuneindia.com/news/punjab/three-killed-as-bike-hits-tree/566939.html,"biker dies in mishap  a farmer, nirmal singh (60) of jhurarkhera village, died and his son amarjit singh (35) was grievously injured as their motorcycle collided with an oil tanker on the city bypass here on saturday afternoon",death
34,34,2018-03-15,https://www.tribuneindia.com/news/punjab/more-fury-than-fire-image-takes-a-hit/557888.html,"— capt amarinder singh, handles transport dept  policing all is well, till it goes wrong what’s done  police busted a gang of alleged khalistan sympathisers suspected to have carried out targeted killings in recent years",death
35,35,2018-03-02,https://www.tribuneindia.com/news/punjab/pulanwala-baba-gifts-another-bridge/552088.html," sarpanch davinder singh, recalling the miseries of villagers, said seven years ago a local girl had died when she could not be taken to hospital in time due to flood in the river",death
36,36,2017-11-08,https://www.tribuneindia.com/news/punjab/govt-all-fogged-up-on-road-safety-measures/494182.html,"in these accidents, 578 persons were killed and more than 600 injured every year",death
37,37,2017-08-07,https://www.tribuneindia.com/news/punjab/how-centre-state-failed-farmers-on-insurance/448344.html,"officially, nearly 20 per cent of the cropped area was damaged in floods that year as compared to 13 per cent and 10 per cent in 2009 (15 dead) and 1988 (200 dead), respectively",death
38,38,2017-08-07,https://www.tribuneindia.com/news/punjab/how-centre-state-failed-farmers-on-insurance/448344.html,"would the company only settle claims if 40 people died or 40 vehicles were involved in a pile-up? needless to say, that was the end of it, he added",death
39,39,2017-07-14,https://www.tribuneindia.com/news/punjab/two-gurdaspur-girls-drown-while-attempting-to-click-selfie/436583.html,"ravi dhaliwal       tribune news service gurdaspur, july 14 two young girls from gurdaspur drowned while allegedly attempting to click a selfie from the edge of a bridge on friday morning",death
40,40,2017-06-28,https://www.tribuneindia.com/news/punjab/complaints-flood-panel-probing-excesses-during-akali-bjp-rule/428654.html,"“we have decided to accept complaints even after june 30, the deadline for filing complaints,” said an official",death
41,41,2015-08-25,https://www.tribuneindia.com/news/crime/boy-s-death-four-booked/124069.html,boy’s death: four booked,death
42,42,2015-08-25,https://www.tribuneindia.com/news/crime/boy-s-death-four-booked/124069.html,"abohar 2 killed in mishap  hoshiari lal (21) and sunny (20) died as a truck reportedly hit their motorcycle on sunday, near talwara jheel, in hanumangarh",death
43,43,2015-06-06,https://www.tribuneindia.com/news/community/thick-security-blanket-for-amritsar/90237.html,"   meanwhile, the dal khalsa reiterated its demand for an international probe into the killings of hundreds of sikh pilgrims and loot of manuscripts from sikh reference library during the army operation",death
44,44,2015-04-15,https://www.tribuneindia.com/news/community/june-30-deadline-to-clean-drains-in-areas-prone-to-waterlogging/67499.html,june 30 deadline to clean drains in areas prone to waterlogging,death
45,45,2015-04-15,https://www.tribuneindia.com/news/community/june-30-deadline-to-clean-drains-in-areas-prone-to-waterlogging/67499.html,"archit watts tribune news service muktsar, april 14 the state irrigation department has set june 30 deadline to clear drains and undertake other anti-flood measures in various districts of the malwa belt, particularly muktsar and fazilka, that are prone to waterlogging during monsoon",death
46,46,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,youth skilling punjab youth 18,death
47,47,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html," keeping this in view and also the fact that with a significant presence 8 of msme sector, the state will be a crucial partner in the ‘make in india’ campaign, the state has set up an empowered ‘state skill development mission’ with three tiers at state, district and block level",death
48,48,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html," under this mission 22 multi skill development centres, one in each district is proposed to be set up in a phased manner",death
49,49,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,"the mission is also in the process of setting up three skill development centres in the health sector at medical colleges, amritsar, patiala and faridkot",death
50,50,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html," under this mission, i also propose to set up three specialised skill development centres in construction sector in partnership with renowned companies in the construction sector",death
51,51,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,"to provide skill training at their doorsteps, 2000 skill training centres for girls and 500 centres for boys will be opened in villages in the existing infrastructure of government schools and other buildings at village level when they are not in use",death
52,52,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,the infant mortality rate (imr) declined by 18 points from 44 in 2006 to 26 in 2013,death
53,53,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,the maternal mortality rate (mmr) declined from 192 in 2004-06 to 141 in 2011-13,death
54,54,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,skill development 100,death
55,55,2015-03-18,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,"an amount of rs 267.92 crore has been earmarked for skill development of 1,21,000 youth under various schemes",death
56,56,2015-03-03,https://www.tribuneindia.com/news/community/3-of-family-die-in-roof-collapse/48956.html,3 of family die in roof collapse,death
57,57,2015-03-03,https://www.tribuneindia.com/news/community/3-of-family-die-in-roof-collapse/48956.html,"tribune news service  patiala, march 2 three members of a family, including two children, were killed in bharat nagar, patiala, when the roof of their house collapsed because of heavy rainfall last night",death
58,58,2019-10-27,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"dengue scare in ludhiana, 10-year-old girl dies",death
59,59,2019-10-27,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"tribune news service ludhiana, october 26  a 10-year-old girl died of dengue on friday night",death
60,60,2019-10-27,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"besides, a four-year-old girl ananya of new durga colony had died on monday after she suffered from dengue shock syndrome as per the report of pgimer, chandigarh",death
61,61,2019-10-27,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html, two children have died due to dengue in the last five days in new durga colony of dhandari khurd in ward 28 ludhiana,death
