title,date,body,url,datetime
"Situation report on Flood/Heavy Rain fall as on 21st October, 2019 at 1800 Hrs",21 Oct 2019,"
Ministry of Home Affairs
Disaster Management Division
(National Emergency Response Centre)
[...]
6. REVIEW OF FLOOD SITUATION IN THE COUNTRY BY MHA
On the direction of Hon’ble Home Minister, Minister of State (Home) took a meeting on 09.08.2019 to review and take stock of the flood situation of affected state and rescue and relief operations being carried out by NDRF, Army, Air Force, Navy and ICG.
➢ Union Home Minister, Shri Amit Shah undertook an aerial survey of flood affected areas of Belgavi district of Karnataka and Sangli& Kolhapur of Maharashtra on 11.08.2019.He was accompanied by the CM, Karnataka, Shri B.S. Yediyurappa, Union Minister for Parliamentary Affairs, Coal and Mines, Shri Prahlad Joshi, Minister of State for Railways, Shri Suresh Angadi, Member of Parliament, Shri PrabhakarKore, Local MLA, MLC and officers of the State Government.Thereafter, the Home Minister held a meeting at the Belagavi Airport to review the flood situation in the Karnataka State. A presentation was made by the state government officers depicting the extent of damage and the rescue measures taken, including the NDRF teams deployed.
7. REVIEW OF FLOOD SITUATION BY NATIONAL CRISIS MANAGEMENT COMMITTEE (NCMC)
Review meeting of NCMC on 08.08.2019
NCMC chaired by Cabinet Secretary on 08.08.2019 took stock of the flood situation, preparedness, rescue and relief operations and directed that immediate assistance, as sought by the states, be provided to meet the crisis. Senior officials of the Ministries of Home, Defence, Water Resources as well as those from NDRF, NDMA and Central Water Commission attended the meeting. Chief Secretaries and other senior officers from the State Governments participated in the meeting through Video Conference. As decided in the meeting, following actions have been taken:
Additional resources from NDRF, Army, Navy, Air Force and Indian Coast Guard in affected state as per the requirement of States concerned.
Fund from the State Disaster Response Fund (SDRF) has been released.
MHA has issued letter to DFS and M/o Agriculture to undertake work relating to crop insurance claims.
Review meeting of NCMC on 20.08.2019
NCMC meeting chaired by Cabinet Secretary held on 20.08.2019reviewed the prevailing flood situation in the states of Himachal Pradesh, Punjab, Uttarakhand, Haryana and Delhi and took stock of the flood situation, preparedness, and rescue & relief operations and directed that immediate assistance, as sought by the states, be provided to meet the crisis. It was also directed to make available necessary financial assistance from the State Disaster Response Fund to the affected states.
Review meeting of NCMC on 15.09.2019
NCMC chaired by the Cabinet Secretary, on 15.09.2019took stock of the flood situation, preparedness, rescue and relief operations in the State of Rajasthan and Madhya Pradesh. Cabinet Secretary directed that immediate assistance, as sought by the States, be provided to meet the crisis. Action to evacuate and rescue people and livestock has been taken by the states and no loss of life has been reported. Adequate teams of the NDRF and Army have also been deployed and are engaged in rescue work.
Review meeting of NCMC on 01.10.2019
A meeting of the National Crisis Management Committee (NCMC), chaired by the Cabinet Secretary was held on 01.10.2019 to review the prevailing flood situation in the state of Bihar due to extremely heavy rainfall in the state, alongwith high levels of water in the rivers, there has been flooding in 16 districts.
Essential supplies of food and drinking water are being supplied by the state government and current efforts are towards restoration of electricity in flood affected areas. While, teams from Central Ministries have already carried out assessment of damages in the state, a fresh visit would be made by them to take stock of the current situation.
Cabinet Secretary took stock of the current situation, preparedness, rescue and relief operations and directed that all assistance, as sought by the state, be provided to meet the crisis.
8. CONSTITUTION OF INTER MINISTERIAL CENTRAL TEAMS.
In the High Level Committee under the Chairmanship of Hon’ble Home Minister in its meeting held on 19.08.2019 reviewed the existing practice of deputing IMCT after the receipt of Memorandum from the State in the wake of any severe calamity.
During the meeting it was decided that IMCT will henceforth be constituted immediately in the aftermath of any natural calamity of sever nature, which will visit the affected areas in the State so as to have first hand assessment of damages caused and the relief work carried out by the State administration. IMCT will again visit the State after submission of the Memorandum for detailed assessment of the damages and relief operations conducted for making final recommendations for allocation of additional funds.
Accordingly, Ministry of Home Affairs has constituted Inter Ministerial Central Teams (IMCTs) for thirteen States affected by flood viz. Assam, Meghalaya, Tripura, Bihar, Uttarakhand, Himachal Pradesh, Gujarat, Rajasthan, Maharashtra, Karnataka, Madhya Pradesh, Punjab and Kerala to have first hand on-the-spot assessment of damages caused and relief work carried out by the State administration.
IMCT for state of Assam, Karnataka, Maharashtra, Uttarakhand, Himachal Pradesh,
Bihar, Rajasthan, Meghalaya, Tripura, Madhya Pradesh, Kerala and Punjab has carried out the spot assessment of the damages of affected states.",https://reliefweb.int/node/3365543,2019-10-21
India: Monsoon Rains and Floods Emergency Plan of Action Operation Update n° 1 DREF n° MDRIN024,18 Oct 2019,"
A. SITUATION ANALYSIS
Description of the disaster
Rainfall and widespread flooding due to the southwest monsoon continue to affect several states of India. The extended monsoon has left a trail of devastation and the death toll has reached more than 1,600 across 14 states. As of 25 September 2019, 338 people lost their lives in Maharashtra, 223 in West Bengal, 181 in Kerala, 170 in Madhya Pradesh, 150 in Gujarat, 130 in Bihar, 105 in Karnataka, 96 in Assam, 69 in Uttarakhand, 58 in Rajasthan, 52 in Himachal Pradesh, 18 in Punjab, 14 in Uttar Pradesh, and 10 in Odisha1.There has been no official statistics available on the extent of the economic damages caused by the widespread flooding. An assessment made by the disaster management division of the Union Home Ministry indicates that over 2.2 million people have been evacuated so far and 8,700 relief camps set up across these states to provide temporary shelter to the displaced population2 .
As incessant monsoon rains wreak havoc across parts of India, Bihar and Uttar Pradesh have been reeling under floods recently.  More than 100 people have died since 27 September following incessant rains3. The extended southwest monsoon over the Indian subcontinent has not only caused devastation in several places in the country but has also broken some old records and set new ones. In the current monsoon season, India receives highest ever rainfall recorded in the last 25 years, and with Mumbai breaking the 61-year record.
In Maharashtra, the monsoon has brought copious rains with its late onslaught. Mumbai has received 3,669.6 mm rainfall so far this season - the highest in 61 years - as against its normal quota of 2,350 mm. The India Meteorological Department (IMD) has predicted rain and thunder showers at many places in eastern Uttar Pradesh and heavy rain at isolated places over the western region on early October. In Ballia, authorities had to shift about 900 prisoners to other jails after flood waters entered the barracks of the district jail located near the Ganga River. The weather department has forecasted a long-delayed withdrawal of Monsoon and more rains for Bihar, including capital Patna where several areas still remain submerged, and food and relief material are being air dropped. In Patna, normal life was thrown out of gear, with several schools shut, roads inundated, and many shops, hospitals and houses submerged in knee deep waters.
More than 4,000 people, including women and children, were rescued from the flood-affected areas of Patna on Monday, 30 September as per NDRF report. The force said it has deployed five teams, with about 45 personnel in each, to conduct rescue and relief works in the city. An Indian Air Force helicopter commenced air-dropping of food and other relief materials to people living in low-lying areas where water level is said to be several feet high.
Rain bearing winds remain active over several parts of the country. Rainfall received so far is 10 per cent more than the normal, which is highest in the last 25 years. The India Meteorological Department (IMD) classified it 'above normal'.  The following table summarized the impact of floods in states where the DREF operation is involved.
The retreating monsoon season has caused havoc and destruction in many parts of the affected states. As of 30 September, the situation remains critical in Bihar and Uttar Pradesh as compared to the other affected states5.",https://reliefweb.int/node/3354153,2019-10-18
India: Monsoon Floods Emergency Plan of Action Operation Update n° 1 DREF n° MDRIN023,14 Sep 2019,"
A. SITUATION ANALYSIS
Description of the disaster
This year’s monsoon season which started in June continues to affect Indian states. The overflowing of Brahmaputra, Barak and Jia Bhoreli rivers caused flooding and landslides affecting 4.6 million people in 31 districts of Assam: Dhemaji, Lakhimpur, Biswanath, Barpeta, Chirang, Golaghat, Jorhat, Sonitpur, Darrang, Nalbari, Bongaigaon, Morigaon, Nagaon, Majuli, Baksa, Kokrajhar, Dhubri, South Salmara, Goalpara, Kamrup, Hojai, Sivsagar, Tinsukia, Cachar, Karbi-Anglong, West Karbi- Anglong, Hailakandi, Karimganj, Kamrup Metro, Dibrugarh and Udalguri.
In Bihar, flood waters breaching the embankment on the Kamla Balan River in Jhanjharpur, Madhubani district and Darbhanga, affected 2,000,000 people in 12 districts - Sheohar, Sitamarhi, East Champaran, Madhubani, Araria, Kishanganj, Supaul, Darbhanga and Muzaffarpur.
As of 22 July, floods in Assam and Bihar have claimed over 100 lives, affecting 11 million people with at least 130,000 displaced and sheltering in more than 600 relief camps and 240 relief distribution centres set up by district administrations. Furthermore, both states and health authorities are concerned that there is the risk of a vector-borne disease outbreak, like dengue and Encephalitis.
By 25 July, number of displaced people in Assam seeking temporary shelters at camps set up by the government further increased to 147,000. In Bihar, over 1 million people have been displaced by the flood waters in 55 blocks in 9 (Sheohar, Sitamarhi, East Champaran, Madhubani, Araria, Kishanganj, Supaul, Darbhanga and Muzaffarpur) out of the 12 affected districts.
Within the next few days (31 July), the situation in both states worsened as more than 1.2 million people were affected in Assam and Bihar and at least 651,000 people displaced in 1,552 relief camps. Approximately, 33,800 houses were reportedly destroyed in Assam, Kerala and Rajasthan.
Additional intense monsoon rains in August resulted in flooding in more states and further exacerbating the situation in the already affected states. As of 21 August, monsoon rains and widespread flooding have affected 11 Indian States (Maharashtra, Kerala, West Bengal, Bihar, Gujarat, Assam, Karnataka, Madhya Pradesh, Rajasthan, Odisha and Punjab, with at least 1,149 fatalities and over 1.8 million people displaced. By 26 August the total fatalities increased to at least 1,326 people across 14 states following monsoon-related incidents (including 130 people in Bihar and 94 people in Assam).",https://reliefweb.int/node/3303423,2019-09-14
"Situation report on Flood/Heavy Rainfall as on 5th September, 2019 at 1800 Hrs",05 Sep 2019,"
1. Forecast
i. IMD

05 September (Day 1): ♦ Heavy to very heavy rainfall with extremely heavy falls very likely at isolated places over south Odisha, Gujarat state, Madhya Maharashtra, north Konkan and north Coastal Andhra Pradesh; Heavy to very heavy rainfall at isolated places over Himachal Pradesh, Uttarakhand, West Madhya Pradesh, Vidarbha, Chhattisgarh and Coastal & South Interior Karnataka; Heavy Rainfall at isolated places over Jammu & Kashmir, Punjab, north Haryana & Chandigarh, West Uttar Pradesh, Rajasthan, East Madhya Pradesh, Sub-Himalayan West Bengal & Sikkim, Andaman & Nicobar Islands, Arunachal Pradesh, Assam & Meghalaya, Nagaland, Manipur, Mizoram & Tripura, Telangana, Tamilnadu, Puducherry & Karaikal and Kerala & Mahe.
06 September (Day 2): ♦ Heavy to very heavy rainfall with extremely heavy falls very likely at isolated places over Chhattisgarh and Gujarat state; Heavy to very heavy rainfall at isolated places over Vidarbha, Odisha, Madhya Maharashtra, Konkan & Goa and Telangana; Heavy Rainfall at isolated places over Uttarakhand, West Uttar Pradesh, East Rajasthan, Madhya Pradesh, Assam & Meghalaya, Nagaland, Manipur, Mizoram & Tripura, Coastal Andhra Pradesh, coastal & South Interior Karnataka and Kerala & Mahe.
07 September (Day 3): Heavy to very heavy rainfall with extremely heavy falls very likely at isolated places over Vidarbha; Heavy to very heavy rainfall at isolated places over Gujarat state and Chhattisgarh; Heavy Rainfall at isolated places over Uttar Pradesh, East Rajasthan, Madhya Pradesh, Odisha, Assam & Meghalaya, Nagaland, Madhya Maharashtra, Konkan & Goa, coastal Karnataka and Kerala & Mahe.

ii. CWC

ORANGE WARNING:
In Bihar river Bagmati and Kosi are flowing in SEVERE FLOOD SITUATION with Steady trend (above danger level) but below HFL have been observed.
",https://reliefweb.int/node/3292673,2019-09-05
"Situation report on Flood/Heavy Rain fall as on 2nd September, 2019 at 1800 Hrs",02 Sep 2019,"
1. Forecast
i. IMD
• 02 September (Day 1): ♦ Heavy to very heavy rainfall very likely at isolated places over Chhattisgarh, Gujarat State, Konkan & Goa, Coastal Andhra Pradesh,  Telangana, Odisha, and Coastal Karnataka and Heavy Rainfall at isolated places over Rajasthan, Madhya Pradesh, Vidarbha, Jharkhand, Gangetic West Bengal,  Assam & Meghalaya, Madhya Maharashtra, Marathawada, North & South Interior Karnataka, Tamilnadu, Puducherry & Karaikal, Kerala & Mahe and Lakshadweep.
• 03 September (Day 2): ♦ Heavy to very heavy rainfall very likely at isolated places over Odisha and Konkan & Goa; Heavy Rainfall at isolated places over Uttarakhand, Uttar Pradesh, Rajasthan, Madhya Pradesh, Vidarbha, Chhattisgarh,  Madhya Maharashtra, Gujarat State, Marathawada, Coastal Andhra Pradesh,  Telangana, Karnataka and Lakshadweep.
• 04 September (Day 3): Heavy to very heavy rainfall very likely at isolated places over East Rajasthan, Andaman & Nicobar Islands and Konkan & Goa; Heavy Rainfall at isolated places over Uttarakhand, Punjab, Haryana, Chandigarh & Delhi,  Uttar Pradesh, Madhya Pradesh, Vidarbha, Odisha, Madhya Maharashtra,Telangana, Coastal Karnataka and Kerala.
ii. CWC
• ORANGE WARNING:
• In Bihar river Bagmati, in Uttar Pradesh river Ganga are flowing in SEVERE FLOOD SITUATION with Falling/steady trends (above danger level) but below HFL. have been observed.",https://reliefweb.int/node/3287208,2019-09-02
"Situation report on Flood/Heavy Rain fall as on 1st September, 2019 at 1800 Hrs.",04 Sep 2019,"
1. Forecast
i. IMD
• 01 September (Day 1): ♦ Heavy to very heavy rainfall very likely at isolated places over Uttarakhand, Konkan & Goa, Coastal Andhra Pradesh, Telangana and Coastal Karnataka and Heavy Rainfall at isolated places over Jammu Division, Himachal Pradesh, Punjab, Haryana, Chandigarh & Delhi, West Uttar Pradesh, Rajasthan,  West Madhya Pradesh, Vidarbha, Chhattisgarh, Gangetic West Bengal, Odisha,  Andaman & Nicobar Islands, Nagaland, Manipur, Mizoram & Tripura, Gujarat,  Madhya Maharashtra, Kerala & Mahe and South Interior Karnataka
• 02 September (Day 2): ♦ Heavy to very heavy rainfall very likely at isolated places over Chhattisgarh, Odisha, Coastal Karnataka and Konkan & Goa and Heavy Rainfall at isolated places over Rajasthan, Madhya Pradesh, Vidarbha, Gangetic West Bengal, Gujarat, Madhya Maharashtra, Coastal Andhra Pradesh & Yanam, Telangana, Kerala & Mahe and South Interior Karnataka.
• 03 September (Day 3): Heavy to very heavy rainfall likely at isolated places over Chhattisgarh, Odisha, Coastal Karnataka and Konkan & Goa and Heavy Rainfall at isolated places over Uttarakhand, West Uttar Pradesh, East Rajasthan, Madhya Pradesh, Vidarbha, Bihar, Gujarat region, Madhya Maharashtra, Telangana and Kerala & Mahe .
• ii. CWC
• ORANGE WARNING:
• In Bihar river Bagmati, In Uttar Pradesh river Ganga are flowing in SEVERE FLOOD SITUATION with rising/steady trends (above danger level) but below HFL. River Kosi in Bihar where rising trend has been observed.",https://reliefweb.int/node/3287218,2019-09-04
"Situation report on Flood/Heavy Rainfall as on 4th September, 2019 at 1800 Hrs",04 Sep 2019,"
1. Forecast
i. IMD
• 04 September (Day 1): ♦ Heavy to very heavy rainfall at a few places with extremely heavy falls at isolated places very likely over Madhya Maharashtra; Heavy to very heavy rainfall with extremely heavy falls at isolated places over Konkan & Goa; Heavy to very heavy rainfall at isolated places over East Madhya Pradesh, Saurashtra & Kutch,  Vidarbha, Chhattisgarh, Odisha, Gujarat Region, Telangana and Coastal & South Interior Karnataka; Heavy Rainfall at isolated places over Uttarakhand, Punjab, north Haryana & Chandigarh, West Uttar Pradesh, East Rajasthan, West Madhya Pradesh, SubHimalayan West Bengal & Sikkim, Andaman & Nicobar Islands, Marathawada, Coastal Andhra Pradesh & Yanam , North Interior Karnataka, Tamilnadu, Puducherry & Karaikal and Kerala & Mahe.
• 05 September (Day 2): ♦ Heavy to very heavy rainfall with extremely heavy falls very likely at isolated places over Gujarat region; Heavy to very heavy rainfall at isolated places over West Madhya Pradesh, Vidarbha, Odisha, Saurashtra & Kutch, Madhya Maharashtra and Konkan & Goa; Heavy Rainfall at isolated places over Uttarakhand,  Rajasthan, East Madhya Pradesh, Chhattisgarh, Sub-Himalayan West Bengal & Sikkim,  Andaman & Nicobar Islands, Telangana, Coastal & South Interior Karnataka, Tamilnadu,  Puducherry & Karaikal and Kerala & Mahe.
• 06 September (Day 3): Heavy to very heavy rainfall with extremely heavy falls very likely at isolated places over Gujarat region; Heavy to very heavy rainfall at isolated places over West Madhya Pradesh and Saurashtra & Kutch; Heavy Rainfall at isolated places over Uttarakhand, East Rajasthan, East Madhya Pradesh, Vidarbha, Odisha, Madhya Maharashtra, Konkan & Goa, Telangana, Coastal Karnataka and Kerala & Mahe.
ii. CWC
• ORANGE WARNING:
• In Bihar river Kosi is flowing in SEVERE FLOOD SITUATION with Steady trend (above danger level) but below HFL has been observed.",https://reliefweb.int/node/3290823,2019-09-04
Situation report in India on flood/heavy rain fall (as on 29th August 2019),29 Aug 2019,"
SITUATION IN INDIA
More than 8869768 population affected by Flood and landslide, nearly 1155 people are reported to be dead across India due to monsoon related incidents as per the latest report of the National Emergency Response Centre, MHA released on 26th August 2019. While the states of Karnataka and Kerala are still dealing with the destruction, northern India is now bracing for the worst. Among the northern Indian states Himachal Pradesh, Uttarakhand, Punjab and Maharashtra are the flood affected states. Many are homeless, several villages submerged by flood water affecting the normal life of the people in this state. The states government is leading the relief and recuse work where the humanitarian agencies in the respective states is supplementing the government effort.
A. SITUATION REPORTS - TILL DATE (DURING CURRENT MONSOON SEASON) AND CUMULATIVE
Punjab
The flood situation in Punjab is likely to improve as the release of excess water from the Bhakra dam has been reduced following a request from the state government. Following heavy rains and release of water from the Bhakra Dam, the swollen river Sutlej and its tributaries flooded villages in several areas, causing extensive damage to crops, especially paddy, and houses in low-lying areas.
The situation, however, is likely to improve as the release of excess water through spillway gates from the Bhakra dam has been reduced to about 8,000 cusecs. Over 8,000 poultry birds and 120 bovines have been reported dead in the Punjab floods. The total value of the livestock loss has been pegged at Rs 91 lakh. A few villages in Ferozepur district are facing a flood threat after a major portion of an embankment in the catchment area of the Sutlej river was washed away due to the Pakistan's release of water into the Indian territory.
Uttarakhand
In Uttarakhand, the number of dead rose to 12, Cloudbursts have wreaked havoc in a dozen villages of Uttarakhand's Uttarkashi district, washing away houses and hectares of agricultural land. Most rivers in Uttarakhand were overflowing, with the Ganga crossing the danger mark in Haridwar and flowing close to it in Rishikesh. Major districts affected are; 13 (Almora, Bageshwar, Chamoli, Champawat, Dehradun, Nainital, Pauri, Pithoragarh, Rudraprayag, Tehri, Udham Singh Nagar, Haridwar and Uttarkashi) . 05 Teams of NDRF are deployed. So far evacuated 53 persons & 01 livestock and retrieved 04 dead bodies.",https://reliefweb.int/node/3279863,2019-08-29
Flood fury inundates North India,20 Aug 2019,"
In Delhi, the Yamuna river continued to swell and was flowing above the danger level.
Cabinet Secretary P K Sinha chaired a high-level meeting of top officials and reviewed the prevailing flood situation in Himachal Pradesh, Punjab, Haryana, Uttarakhand and Delhi.
He directed officials to provide immediate assistance as sought by the states to meet the crisis.
As of now, 28 teams of the National Disaster Response Force are deployed in these states and resources from the Army and the Air Force, have been pressed into service.
Cabinet Secretary also directed the officials to make necessary financial assistance available from the State Disaster Response Fund. Meawhile, in some good news, IMD has said that  the intensity of rain fall is likely to decline in the coming days.
Several parts in Northern India are facing the brunt of heavy rains and floods affecting normal life, however, with the decline in rain intensity there has been improvement in some parts.
In hill states of Uttarakhand and Himachal Pradesh, floods and landslides have caused heavy losses. At least 35 people have been killed in rain related incidents. In Punjab and Haryana too, many areas are facing a flood like situation.
In Delhi, Yamuna river is flowing above the danger mark leaving many of the nearby areas and houses inundated.
At around 1 pm on Tuesday, the water level was at 206.8 meter. In view of rising water levels, the old iron bridge over the Yamuna river has been closed for road and rail traffic.
People living in the vicinity of the overflowing river have been shifted to more than 22,000 temporary camps set up by various agencies of the Delhi government.
Worst hit is the state of Uttarakhand where all the rivers are overflowing due to incessant rains over past two days.
The Ganges is flowing above the danger mark in Haridwar. Chief Minister Trivendra Singh Rawat visited the areas battered due to cloudburst in Uttarkashi district and took stock of the situation.
He directed officials to take necessary measures and pace up relief and rescue operation. The Chief Minister said that at least 15 people have lost their lives while 6 are still missing. Several others are injured.
The ITBP carried out a search operation following the disaster in Uttarkashi. One body was recovered in Arakot area near Tikochi. Search for the missing persons is still on... Relief material is being delivered with the help of helicopters.
In Himachal Pradesh, situation is getting back to normal with no rains reported. However, a building collapsed in Hamirpur due to floods.
In Uttar Pradesh, its a flood like situation due to overflowing Ganga, Yamuna and Ghaghra rivers. This has led to the increase in water levels of rivers in neighbouring states...
No casualties were reported from Punjab and Haryana on Tuesday, but due to incessant rains in the last few days, flood-like conditions continues in several parts.
Several villages of Ludhiana, Rupnagar and Jalandhar are still submerged because of cracks in dams. Rescue operations were carried out in Jalandhar to evacuate stranded people...
Relief and rescue operations are being carried out in all the affected states. At the National Disaster Management Committee meeting, Cabinet Secretary P K Sinha reviewed the flood situation in Himachal Pradesh, Punjab, Uttarakhand, Haryana and Delhi.
Apart from 28 teams of NDRF, army and air force teams are also continuously involved in relief and rescue operations.
In another High Level meeting chaired by Union Home Minister Amit Shah, an announcement was made to provide assistance of Rs 4432 crore to Odisha, Karnataka and Himachal Pradesh.
The meeting also reviewed the situation in flood affected areas in other parts of the country. The Home Minister instructed all concerned agencies to remain vigilant and extend all possible assistance to the states.
Meanwhile, relief and rescue operations are underway in flood affected states and the priority is to ensure safety of the people.",https://reliefweb.int/node/3267823,2019-08-20
Rain and floods wreak havoc in North India,20 Aug 2019,"
Northern part of the country continues to reel under heavy rain and flood. In Uttarakhand, death toll in Mori subdivision of Uttarkashi district has risen to 12 whereas 5 people are missing.
After visiting the disaster affected areas, Secretary, Disaster Management, Amit Negi told media in Dehradun that rainfall has caused a loss of around 100 crore rupees in the state till now. Rescue and relief opration is in full swing in affected areas .A rehabilitation Center have been setup at Parajit where the administration is providing shelter to nearly 350 villagers with medical help and food facilities .Chief Minister Trivendra Singh Rawat  will visit the affected areas today .Earlier he met to Home Minister Amit Shah in New Delhi Yesterday and appraised him about the natural calamity in Uttarkashi.
Meanwhile, in Himachal Pradesh, death toll has risen to 25 after one more death was reported from Chamba district due to heavy rain. Chamba , Kullu, Shimla , Sirmaur and Solan districts are the worst hit. More than 800 roads are closed and hundreds of vehicles are stranded in Lahaul Spiti due to unexpected snowfall which triggered landslides.
In Uttar Pradesh, many rivers are swollen and danger of flood is looming large in the catchment areas of rivers. The district administrations have issued and people  in catchment are going to safer places.
According to the reports of Central water Commission, river Ganga is flowing over danger mark at Kachhla Bridge in Badayun and at Naraura in Bulandshahar  and in  Balia district it is near to the red mark. Sharda River at Palia kala in Lakhimpur khiri and Ghagra at Alginbridge in Barabanki have crossed red level.
The water of Ghagra river is below the red mark at Ayodhya and Turtipar of Balia. The Chambal is also near red level in Agra and Etawah districts but in receding trends. The river Yamuna is flowing near  danger mark in Auriya and Jalaun and Hamirpur districts. 
The weather department has made forecast of rain very likely  at many places over the state during two three days. After release of lacks of cusecs water from Hathinikund barrage, the river yamuna has started swelling in Shamli and other districts. Thousand acres agricultural land and crops have been innundated. The river is swiftly eroding its banks and embarkments. The Shamli district administration has ed people in catchment areas and keen civil on situation is underway. Yamuna has crossed danger level in Jalaun district and more than one dozens villages  have cut their road connect to the district headquarters and people are using boats.
In Delhi, Yamuna breached danger mark last evening, flooding a portion of the Nigambodh Ghat in the eastern part of the national capital. More than 10,000 people living in low-lying areas along the Yamuna were evacuated by government agencies.  In Punjab, Chief Minister Captain Amarinder Singh announced 100 Crore rupees for emergency relief for flood-hit people. He said a special survey of agricultural land will be conducted to asses damage to ensure compensation for affected farmers.
The Maharashtra government also announced a slew of relief measures for people affected by the recent floods in the state. Chief Minister Devendra Fadnavis said, a committee will ascertain causes for the floods and suggest measures to avoid their recurrence.",https://reliefweb.int/node/3267743,2019-08-20
