headline,date,caption,url
Flood-hit farmers to get 9k-quintal wheat seed,21 Oct 2019 | 7:12 AM,"JALANDHAR: In a major initiative aimed at providing succour to farmers of flood-affected villages in the district, the Punjab Government will distribute around 9,000 quintals of high-yielding varieties of wheat seeds to food growers free of cost.",/news/punjab/flood-hit-farmers-to-get-9k-quintal-wheat-seed/849947.html
Debt relief likely for flood-hit farmers,16 Oct 2019 | 6:52 AM,CHANDIGARH: The state government is mulling deferment of repayment of crop loans availed by farmers in flood-hit villages of Doaba and Malwa region by three years.,/news/punjab/debt-relief-likely-for-flood-hit-farmers/847607.html
"No wheat seed disbursal, farmers livid",14 Oct 2019 | 6:47 AM,JALANDHAR: The free of cost wheat seed disbursal in 13 villages of Kapurthala has been hit due to the election code of conduct for the Phagwara bypolls.,/news/punjab/no-wheat-seed-disbursal-farmers-livid/846770.html
Farmers in flood-affected areas to get free wheat seed,14 Oct 2019 | 6:47 AM,"MOGA: The state government will provide high-quality wheat crop seeds to flood-hit farmers in Moga, Jalandhar, Kapurthala, Ferozepur, Fazilka and other flood-affected districts for the upcoming rabi season.",/news/punjab/farmers-in-flood-affected-areas-to-get-free-wheat-seed/846749.html
Business sinks in mandis of flood-hit Lohian,11 Oct 2019 | 7:00 AM,"JALANDHAR: Major Singh (62) of Gidderpindi village visits the local mandi almost every day. He invariably chooses a quiet corner to sit. Owning four acres of land, he made good money last season. But this year, he has nothing to sell, his entire crop having been devoured by floods.",/news/punjab/business-sinks-in-mandis-of-flood-hit-lohian/845334.html
"No festive cheer, flood-hit areas grapple with gloom",10 Oct 2019 | 6:53 AM,JALANDHAR: Kala Singh (60) from Mundi Cholian village is embarrassed to admit in front of his granddaughters that this year he won’t be able to buy toys for them this Diwali.,/news/punjab/no-festive-cheer-flood-hit-areas-grapple-with-gloom/844861.html
Drone threat mustn’t be linked with Gurpurb: CM,04 Oct 2019 | 7:15 AM,NEW DELHI:Chief Minister Capt Amarinder Singh today said the state government was fully prepared to counter the resurgence of terror threat from Pakistan.,/news/punjab/drone-threat-mustn-t-be-linked-with-gurpurb-cm/842199.html
"Capt meets Modi, proposes canalisation of Punjab’s major rivers",03 Oct 2019 | 1:13 PM,NEW DELHI: Punjab CM Capt Amarinder Singh urged the Central Government to take up canalisation of the state’s three eastern rivers of the Indus water system as a national project.,/news/punjab/capt-meets-modi-proposes-canalisation-of-punjab-s-major-rivers/842061.html
No contamination in flood-hit areas,28 Sep 2019 | 6:59 AM,JALANDHAR: The groundwater tests in four of the flood-hit villages show no major contamination.,/news/punjab/no-contamination-in-flood-hit-areas/839260.html
Flood of troubles for ‘teacherless’ schools,22 Sep 2019 | 6:38 AM,"JALANDHAR: Students at Government Primary School, Mehrajwala, in Lohian block of the district have been badly affected ever since floods ravaged the area.",/news/punjab/flood-of-troubles-for-teacherless-schools/836127.html
Flood leaves white layer in fields of Muktsar,19 Sep 2019 | 6:54 AM,"MUKTSAR: After the dewatering work, a white layer called ‘shora’ (efflorescence) can be seen on the agricultural land in some parts of Muktsar district.",/news/punjab/flood-leaves-white-layer-in-fields-of-muktsar/834669.html
