headline,date,caption,url
HC raps Punjab Agri Dept officials,29 Oct 2019 | 6:57 AM,"CHANDIGARH:Taking note of late filing of about 80 complaints alleging violation of the Insecticides Act, the Punjab and Haryana High Court has asserted that criminal negligence on part of Punjab Agriculture Department officials prima facie stood established.",/news/punjab/hc-raps-punjab-agri-dept-officials/853259.html
"Dengue scare in Ludhiana, 10-year-old girl dies",27 Oct 2019 | 5:36 AM,"LUDHIANA:  A 10-year-old girl died of dengue on Friday night. The victim, Preeti Kumari was suffering from severe dengue that was confirmed by Dayanand Medical College and Hospital.",/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html
Direct paddy sowing saves 62-lakh litres water,23 Sep 2019 | 7:07 AM,MOGA: A farmer of Talwandi Bhangeria village in Moga district has saved at least 62 lakh litres of water in his paddy fields in just two months.,/news/punjab/direct-paddy-sowing-saves-62-lakh-litres-water/836624.html
"Then and now, mining biz remains in political domain",20 Sep 2019 | 6:55 AM,"CHANDIGARH: Illegal sand mining, allegedly controlled by Akalis during 2008-14, and high prices of the basic construction material had led the people to reject the “Panthic” party in the 2014 Lok Sabha elections.",/news/punjab/then-and-now-mining-biz-remains-in-political-domain/835054.html
"450 dengue cases reported, flood-hit areas vulnerable",17 Sep 2019 | 6:52 AM,"CHANDIGARH/ JALANDHAR: The number of dengue cases in the state has crossed the 400 mark. Out of these, around 300 cases have been reported in the past one month only. But the next two and half months are crucial, more so this year as the rain fury has left many villages in the state inundated.",/news/punjab/450-dengue-cases-reported-flood-hit-areas-vulnerable/833510.html
"Mid-terms on, students in flood-hit areas unaware",11 Sep 2019 | 6:48 AM,JALANDHAR: Exams could not be held in six primary schools and three upper primary schools in the flood-hit Lohian block today because of low attendance.,/news/punjab/mid-terms-on-students-in-flood-hit-areas-unaware/830769.html
"Border flooded, Pak peddlers take river route",10 Sep 2019 | 7:00 AM,"FEROZEPUR: Following rise in the Sutlej level and subsequent flooding of areas along the border in this sector, Pakistan-based drug peddlers have been trying to push consignments inside the Indian territory through the “vulnerable” riverine gaps where fencing could not be erected.",/news/punjab/border-flooded-pak-peddlers-take-river-route/830164.html
Online transfer policy for non-teaching staff: Singla,09 Sep 2019 | 7:02 AM,SANGRUR: Punjab PWD (B&R) and Education Minister Vijay Inder Singla today attended the bhog of freedom fighter Gurdial Singh (97) at Nankiana Sahib Gurdwara and assured all help to his family.,/news/punjab/online-transfer-policy-for-non-teaching-staff-singla/829755.html
Floodgates of Bhakra likely to be closed tomorrow,07 Sep 2019 | 6:59 AM,"CHANDIGARH: Twentytwo days after the floodgates of the Bhakra Dam were opened to discharge excess water following heavy rains, the Bhakra Beas Management Board is considering closing them as inflows into the reservoir have reduced.",/news/punjab/floodgates-of-bhakra-likely-to-be-closed-tomorrow/828890.html
"Patiala residents blame faulty tiles, blocked drains",06 Sep 2019 | 7:41 AM,"PATIALA:Patiala faced a flood-like situation due to heavy rainfall on Thursday morning, for which residents blamed blocked nullahs, drains and haphazard installation of interlocked tiles.",/news/punjab/patiala-residents-blame-faulty-tiles-blocked-drains/828380.html
Power restored to 108 villages,02 Sep 2019 | 6:46 AM,"CHANDIGARH: As part of the operations to restore normalcy in the flood-affected areas, the PSPCL has restored supply to the 21-flood hit villages of Jalandhar and 87 of Sultanpur Lodhi.",/news/punjab/power-restored-to-108-villages/826302.html
"From bundhs, villagers keep watch on homes",02 Sep 2019 | 6:46 AM,"Almost a fortnight after the floods hit the district, villagers are preferring to camp on bundhs, than spending nights at the relatively secure relief camps set up by the government.",/news/punjab/from-bundhs-villagers-keep-watch-on-homes/826301.html
"Floods take toll on houses, villagers staying outdoors",01 Sep 2019 | 6:31 AM,"MuUNDI SHEHRIAN/MANDAL CHANNA: As many as 3,000 houses and other buildings have been damaged in the district due to floods in the past fortnight. With about 10 villages (seven of them still inundated) severely affected by the floods, officials said it would take at least a month to assess the total",/news/punjab/floods-take-toll-on-houses-villagers-staying-outdoors/825853.html
"Villagers stay up to ward off mosquitoes, snakes",29 Aug 2019 | 6:53 AM,"JALANDHAR: “These are the most horrifying and darkest nights of our lives,” says Mukhtiar Singh, 62, of Mundi Cholian village of Lohian, which is flooded even 10 days after the breach in the Sutlej.",/news/punjab/villagers-stay-up-to-ward-off-mosquitoes-snakes/824266.html
Crores spent on bundhs washed away,29 Aug 2019 | 6:53 AM,"JALANDHAR: Over the years, crores have been spent on irrigation and flood control on the 1,400-km dhussi bundh in the state. Around Rs 22.66 crore has been sanctioned for this fiscal too.",/news/punjab/crores-spent-on-bundhs-washed-away/824263.html
"Month on, Muktsar farmers await special girdawari",28 Aug 2019 | 6:50 AM,"MUKTSAR: It’s been over a month after the rain flooded agricultural fields in a large number of villages in the district, but the work of special girdawari to assess crop damage is yet to finish.",/news/punjab/month-on-muktsar-farmers-await-special-girdawari/823774.html
"Floods destroy power infra, initial loss Rs5 cr",28 Aug 2019 | 6:50 AM,"PATIALA: Punjab’s worst floods in three decades, partially due to the Bhakra Beas Management Board decision to release excess water into Sutlej, have caused damage to the power infrastructure in the state.",/news/punjab/floods-destroy-power-infra-initial-loss-rs5-cr/823771.html
"Out of job, daily wagers struggle to feed family",27 Aug 2019 | 6:55 AM,"JALANDHAR: Swaran Singh of Nasirpur village steps out daily to find a job but returns disappointed. A daily wager, he has a wife and a newborn to feed but no money.",/news/punjab/out-of-job-daily-wagers-struggle-to-feed-family/823215.html
"Illegal mining made it worse, say villagers",27 Aug 2019 | 6:55 AM,"JALANDHAR: Three days after a deluge hit the area, a 15-member delegation from Rame and Bamniyan villages in Lohian went to the Shahkot police station to complain about tippers and trailers picking up sand illegally from the bundh that protects their villages against Sutlej waters.",/news/punjab/illegal-mining-made-it-worse-say-villagers/823212.html
