headline,date,caption,url
"Capt meets Modi, proposes canalisation of Punjab’s major rivers",03 Oct 2019 | 1:13 PM,NEW DELHI: Punjab CM Capt Amarinder Singh urged the Central Government to take up canalisation of the state’s three eastern rivers of the Indus water system as a national project.,/news/punjab/capt-meets-modi-proposes-canalisation-of-punjab-s-major-rivers/842061.html
Direct paddy sowing saves 62-lakh litres water,23 Sep 2019 | 7:07 AM,MOGA: A farmer of Talwandi Bhangeria village in Moga district has saved at least 62 lakh litres of water in his paddy fields in just two months.,/news/punjab/direct-paddy-sowing-saves-62-lakh-litres-water/836624.html
"Border flooded, Pak peddlers take river route",10 Sep 2019 | 7:00 AM,"FEROZEPUR: Following rise in the Sutlej level and subsequent flooding of areas along the border in this sector, Pakistan-based drug peddlers have been trying to push consignments inside the Indian territory through the “vulnerable” riverine gaps where fencing could not be erected.",/news/punjab/border-flooded-pak-peddlers-take-river-route/830164.html
4 booked for damaging SDM’s car,09 Sep 2019 | 7:02 AM,"FEROZEPUR: Four villagers and some unidentified persons were booked on the charges of trying to push the Sub Judicial Magistrate’s (SDM) official vehicle into the Sutlej, besides causing harassment to him and other officials during their visit to Gatta Badshah village in Zira sub-division.",/news/punjab/4-booked-for-damaging-sdm-s-car/829763.html
"Floods: Hope, relations washed away",09 Sep 2019 | 7:02 AM,"JALANDHAR: Floods have affected everything, including relations which are yet to be materialised. Marriage proposals, which were in process of finalisation or reached at almost final stage, were wiped out.",/news/punjab/floods-hope-relations-washed-away/829761.html
"Speed up work on corridor, says ex-minister",06 Sep 2019 | 7:41 AM,NEW DELHI:Former Law Minister and Congress leader Ashwani Kumar has urged Prime Minister Narendra Modi to expedite the work on the Kartarpur corridor.,/news/punjab/speed-up-work-on-corridor-says-ex-minister/828400.html
"Sutlej fury fuelled by mining, encroachments",01 Sep 2019 | 6:31 AM,"CHANDIGARH: The calamity that struck Punjab on August 18, when heavy downpour led to rise in water level of the Sutlej and Beas, could have been averted to a large extent.",/news/punjab/sutlej-fury-fuelled-by-mining-encroachments/825854.html
"India, Pak technical teams discuss Kartarpur corridor",31 Aug 2019 | 7:16 AM,DERA BABA NANAK:A 105-minute meeting of the Kartarpur corridor technical committee was today held between officials of India and Pakistan at the zero point —the place where the Indian and Pakistani sides of the proposed corridor converge.,/news/punjab/india-pak-technical-teams-discuss-kartarpur-corridor/825494.html
"Amid tension, India, Pak hold technical talks on Kartarpur corridor",30 Aug 2019 | 11:28 AM,ISLAMABAD/GURDASPUR: Officials from India and Pakistan on Friday discussed in a cordial atmosphere the technical modalities like the level of roads and the bridge of the proposed Kartarpur Corridor for Sikh pilgrims.,/news/punjab/amid-tension-india-pak-hold-technical-talks-on-kartarpur-corridor/825187.html
Crores spent on bundhs washed away,29 Aug 2019 | 6:53 AM,"JALANDHAR: Over the years, crores have been spent on irrigation and flood control on the 1,400-km dhussi bundh in the state. Around Rs 22.66 crore has been sanctioned for this fiscal too.",/news/punjab/crores-spent-on-bundhs-washed-away/824263.html
Embankment in Ferozepur district collapses as Pakistan releases water,26 Aug 2019 | 12:18 PM,"CHANDIGARH: A crucial embankment in Ferozepur district collapsed early on Monday due to heavy discharge of water from Pakistan, posing a threat of flooding.",/news/punjab/embankment-in-ferozepur-district-collapses-as-pakistan-releases-water/823150.html
"Punjab seeks Rs 1,000 cr special aid from Centre",26 Aug 2019 | 7:10 AM,"CHANDIGARH:The damage caused in Punjab by floods, mainly on account of water being released through spillways of the Bhakra Dam, was immense and needed special assistance from the Centre, in addition to the relief that was being provided through the Disaster Relief Management Fund, the state govern",/news/punjab/punjab-seeks-rs-1-000-cr-special-aid-from-centre/822847.html
Cong MLA gives month’s salary,26 Aug 2019 | 6:55 AM,"Chandigarh: Hours after Chief Minister Captain Amarinder Singh tweeted an appealed to all to join the state government in assisting flood-affected people, Qudian Congress MLA Fateh Jung Bajwa decided to donate his one month’s salary and appealed to his colleagues to follow the suit.",/news/punjab/cong-mla-gives-month-s-salary/822779.html
Capt Amarinder seeks joint action plan with Army to strengthen Tendiwala embankment,25 Aug 2019 | 4:38 PM,CHANDIGARH: Punjab Chief Minister Captain Amarinder Singh on Sunday asked the Water Resources Department to work out a joint action plan with the army authorities to strengthen the embankment at Tendiwala village in Ferozepur district on the Indo-Pak border.,/news/punjab/capt-amarinder-seeks-joint-action-plan-with-army-to-strengthen-tendiwala-embankment/822677.html
CM surprised over non-inclusion of Punjab in list for flood-situation assessment,24 Aug 2019 | 9:46 PM,CHANDIGARH: Chief Minister Amarinder Singh on Saturday expressed surprise over Punjab not being included in the list of states identified for on-the-spot assessment of flood situation by an Inter-Ministerial Central Team (IMCT).,/news/punjab/cm-surprised-over-non-inclusion-of-punjab-in-list-for-flood-situation-assessment/822239.html
"Stuck between border fence, Sutlej, farmers losing hope",23 Aug 2019 | 7:05 AM,"FEROZEPUR: With hostile neighbour (Pakistan) on one side and the ravaging Sutlej on the other, farmers residing in villages along the India-Pakistan border here are seemingly caught between the proverbial “devil and the deep sea”.",/news/punjab/stuck-between-border-fence-sutlej-farmers-losing-hope/821300.html
"Farmers stare at losses, govt empty coffers",22 Aug 2019 | 6:59 AM,"CHANDIGARH: Even as the state remained on the edge, with almost 75,000 cusecs water being released by the BBMB, the government is grappling with the issue of compensating farmers, who have suffered losses worth crores.",/news/punjab/farmers-stare-at-losses-govt-empty-coffers/820671.html
Punjab CM writes to PM for Rs 1000 crore special flood relief package,21 Aug 2019 | 7:37 PM,CHANDIGARH: Punjab Chief Minister Capt Amarinder Singh on Wednesday wrote to Prime Minister Narendra Modi seeking a Rs 1000 crore special package to address the losses due to flooding in the state.,/news/punjab/punjab-cm-writes-to-pm-for-rs-1000-crore-special-flood-relief-package/820655.html
Army helicopters provide food packets in flood-hit areas of Jalandhar,21 Aug 2019 | 12:23 PM,LOHIAN: Helicopters of the Army were pressed into service on Wednesday to provide packets in flood-hit villages of Punjab''s Jalandhar district as they remain inundated because of breaches in the earthen embankments of the Sutlej river.,/news/punjab/army-helicopters-provide-food-packets-in-flood-hit-areas-of-jalandhar/820609.html
Standing crops hit; farmers seek damages,20 Aug 2019 | 6:59 AM,LUDHIANA:Incessant rains in the last few days have thrown life out of gear in the region.,/news/punjab/standing-crops-hit-farmers-seek-damages/819846.html
"Capt meets Modi, proposes canalisation of Punjab’s major rivers",03 Oct 2019 | 1:13 PM,NEW DELHI: Punjab CM Capt Amarinder Singh urged the Central Government to take up canalisation of the state’s three eastern rivers of the Indus water system as a national project.,/news/punjab/capt-meets-modi-proposes-canalisation-of-punjab-s-major-rivers/842061.html
Direct paddy sowing saves 62-lakh litres water,23 Sep 2019 | 7:07 AM,MOGA: A farmer of Talwandi Bhangeria village in Moga district has saved at least 62 lakh litres of water in his paddy fields in just two months.,/news/punjab/direct-paddy-sowing-saves-62-lakh-litres-water/836624.html
"Border flooded, Pak peddlers take river route",10 Sep 2019 | 7:00 AM,"FEROZEPUR: Following rise in the Sutlej level and subsequent flooding of areas along the border in this sector, Pakistan-based drug peddlers have been trying to push consignments inside the Indian territory through the “vulnerable” riverine gaps where fencing could not be erected.",/news/punjab/border-flooded-pak-peddlers-take-river-route/830164.html
4 booked for damaging SDM’s car,09 Sep 2019 | 7:02 AM,"FEROZEPUR: Four villagers and some unidentified persons were booked on the charges of trying to push the Sub Judicial Magistrate’s (SDM) official vehicle into the Sutlej, besides causing harassment to him and other officials during their visit to Gatta Badshah village in Zira sub-division.",/news/punjab/4-booked-for-damaging-sdm-s-car/829763.html
"Floods: Hope, relations washed away",09 Sep 2019 | 7:02 AM,"JALANDHAR: Floods have affected everything, including relations which are yet to be materialised. Marriage proposals, which were in process of finalisation or reached at almost final stage, were wiped out.",/news/punjab/floods-hope-relations-washed-away/829761.html
"Speed up work on corridor, says ex-minister",06 Sep 2019 | 7:41 AM,NEW DELHI:Former Law Minister and Congress leader Ashwani Kumar has urged Prime Minister Narendra Modi to expedite the work on the Kartarpur corridor.,/news/punjab/speed-up-work-on-corridor-says-ex-minister/828400.html
"Sutlej fury fuelled by mining, encroachments",01 Sep 2019 | 6:31 AM,"CHANDIGARH: The calamity that struck Punjab on August 18, when heavy downpour led to rise in water level of the Sutlej and Beas, could have been averted to a large extent.",/news/punjab/sutlej-fury-fuelled-by-mining-encroachments/825854.html
"India, Pak technical teams discuss Kartarpur corridor",31 Aug 2019 | 7:16 AM,DERA BABA NANAK:A 105-minute meeting of the Kartarpur corridor technical committee was today held between officials of India and Pakistan at the zero point —the place where the Indian and Pakistani sides of the proposed corridor converge.,/news/punjab/india-pak-technical-teams-discuss-kartarpur-corridor/825494.html
"Amid tension, India, Pak hold technical talks on Kartarpur corridor",30 Aug 2019 | 11:28 AM,ISLAMABAD/GURDASPUR: Officials from India and Pakistan on Friday discussed in a cordial atmosphere the technical modalities like the level of roads and the bridge of the proposed Kartarpur Corridor for Sikh pilgrims.,/news/punjab/amid-tension-india-pak-hold-technical-talks-on-kartarpur-corridor/825187.html
Crores spent on bundhs washed away,29 Aug 2019 | 6:53 AM,"JALANDHAR: Over the years, crores have been spent on irrigation and flood control on the 1,400-km dhussi bundh in the state. Around Rs 22.66 crore has been sanctioned for this fiscal too.",/news/punjab/crores-spent-on-bundhs-washed-away/824263.html
Embankment in Ferozepur district collapses as Pakistan releases water,26 Aug 2019 | 12:18 PM,"CHANDIGARH: A crucial embankment in Ferozepur district collapsed early on Monday due to heavy discharge of water from Pakistan, posing a threat of flooding.",/news/punjab/embankment-in-ferozepur-district-collapses-as-pakistan-releases-water/823150.html
"Punjab seeks Rs 1,000 cr special aid from Centre",26 Aug 2019 | 7:10 AM,"CHANDIGARH:The damage caused in Punjab by floods, mainly on account of water being released through spillways of the Bhakra Dam, was immense and needed special assistance from the Centre, in addition to the relief that was being provided through the Disaster Relief Management Fund, the state govern",/news/punjab/punjab-seeks-rs-1-000-cr-special-aid-from-centre/822847.html
Cong MLA gives month’s salary,26 Aug 2019 | 6:55 AM,"Chandigarh: Hours after Chief Minister Captain Amarinder Singh tweeted an appealed to all to join the state government in assisting flood-affected people, Qudian Congress MLA Fateh Jung Bajwa decided to donate his one month’s salary and appealed to his colleagues to follow the suit.",/news/punjab/cong-mla-gives-month-s-salary/822779.html
