headline,date,caption,url
Rain damages crops,05 Oct 2019 | 6:59 AM,FAZILKA: Untimely heavy rain in the Fazilka area today played a havoc with the paddy crop.,/news/punjab/rain-damages-crops/842702.html
Six pilgrims from Punjab killed in Uttarakhand accident,28 Sep 2019 | 10:35 PM,"NEW TEHRI: Six pilgrims from Punjab, who were on their way to the Himalayan shrine of Hemkund Sahib, were killed and four injured when a huge rock fell on their vehicle in Tehri district following a landslip triggered by heavy rains.",/news/punjab/six-pilgrims-from-punjab-killed-in-uttarakhand-accident/839621.html
Storage in dams better than 10-yr average,21 Sep 2019 | 6:40 AM,"CHANDIGARH: The available storage in crucial reservoirs in the northern region towards the fag end of the monsoon season this year is noticeably above normal, which augurs well not only for the agricultural sector, but also for provision of drinking water.",/news/punjab/storage-in-dams-better-than-10-yr-average/835580.html
"Amid deluge, Jalandhar welcomes ‘flood babies’",25 Aug 2019 | 6:40 AM,"JALANDHAR: Geeta Rani was in full term and could deliver any time. Tense, her husband Swaran Singh saw the water level rising at Nasirpur village in Lohian and decided to take his wife to his relatives in a nearby village.",/news/punjab/amid-deluge-jalandhar-welcomes-flood-babies/822267.html
Bhakra water level to be reduced by 5 ft,22 Aug 2019 | 6:45 AM,"CHANDIGARH: While reducing the outflow from Bhakra Dam’s floodgates tonight, the authorities have decided to bring down the water level in the reservoir, which is hovering near the top mark.",/news/punjab/bhakra-water-level-to-be-reduced-by-5-ft/820722.html
Capt Amarinder earmarks Rs 100 cr for flood relief,19 Aug 2019 | 5:20 PM,"RUPNAGAR: Punjab Chief Minister Amarinder Singh announced on Monday that his government would earmark Rs 100 crore for flood relief, as reports of large-scale damage to property continues to trickle in from the various parts of the state.",/news/punjab/capt-amarinder-earmarks-rs-100-cr-for-flood-relief/819785.html
"Rain wreaks havoc, 4 die in roof collapse",19 Aug 2019 | 6:38 AM,KHANNA: Four persons were killed in two separate rain-related incidents in Khanna.,/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html
IMD says rain will weaken in 24 hours,18 Aug 2019 | 4:33 PM,NEW DELHI: The Indian Meteorological Department said rain will weaken in the region in 24 hours—a development that comes as a relief for several states in the north that have reported heavy flooding.,/news/punjab/imd-says-rain-will-weaken-in-24-hours/819318.html
"Budhki, Sarsa rivers in spate; admn orders evacuation of dozens of villages",18 Aug 2019 | 1:24 PM,"ROPAR: Following heavy rain in the state and neighbouring Himachal Pradesh, all the rivers and khuds in the district are in spate, inundating dozens of villages.",/news/punjab/budhki-sarsa-rivers-in-spate-admn-orders-evacuation-of-dozens-of-villages/819303.html
"Flood threat rises in Punjab, Haryana; authorities go into huddle",19 Aug 2019 | 6:51 AM,CHANDIGARH/ROPAR: Several places in Punjab and Haryana reported floods on Sunday after continuous rain battered the region. Three members of a family were killed when the roof of their house collapsed following heavy rain in Aol village near Khanna town.,/news/punjab/flood-threat-rises-in-punjab-haryana-authorities-go-into-huddle/819286.html
Torrential rain lashes northern states; alert sounded in Punjab,17 Aug 2019 | 11:15 AM,"SHIMLA/JAIPUR: Heavy rain lashed northern states on Saturday, with an alert sounded in Punjab following release of excess water from Bhakra dam and the Chambal river in Rajasthan flowing 12 metre above the danger mark, while normalcy was slowly returning to flood-ravaged Kerala, where so far 113 pe",/news/punjab/torrential-rain-lashes-northern-states-alert-sounded-in-punjab/818855.html
