headline,date,caption,url
Delay in sowing fuelled farm fires: Harvard study,01 Nov 2019 | 7:01 AM,"CHANDIGARH: The Punjab Government’s policy of delaying sowing of paddy has resulted in deteriorating air quality, a study carried out by researchers of Harvard University, US, has found.",/news/punjab/delay-in-sowing-fuelled-farm-fires-harvard-study/854596.html
‘NGT order  ignored’,01 Nov 2019 | 7:01 AM,ROPAR: RTI activist and lawyer Dinesh Chadha has alleged that the authorities are not taking any action against illegal mining despite National Green Tribunal (NGT) directions in this regard.,/news/punjab/-ngt-order-ignored/854589.html
Paddy yield may dip in Malwa belt,24 Oct 2019 | 6:58 AM,"MOGA: Paddy yield is likely to decrease by 8 to 10 quintals per hectare due to smog caused by the rise in air pollution in Moga, Faridkot, Ferozepur, Fazilka and other districts of the Malwa belt adjoining the Pakistan border.",/news/punjab/paddy-yield-may-dip-in-malwa-belt/851291.html
"Capt meets Modi, proposes canalisation of Punjab’s major rivers",03 Oct 2019 | 1:13 PM,NEW DELHI: Punjab CM Capt Amarinder Singh urged the Central Government to take up canalisation of the state’s three eastern rivers of the Indus water system as a national project.,/news/punjab/capt-meets-modi-proposes-canalisation-of-punjab-s-major-rivers/842061.html
Heavy Sept rains set to delay paddy harvest,01 Oct 2019 | 6:53 AM,"CHANDIGARH: Erratic weather pattern seems to be the new normal in Punjab. The weatherman says that unlike the rest of India, where monsoon retreats by September, Punjab has seen higher than normal rains in the end of September.",/news/punjab/heavy-sept-rains-set-to-delay-paddy-harvest/840629.html
Storage in dams better than 10-yr average,21 Sep 2019 | 6:40 AM,"CHANDIGARH: The available storage in crucial reservoirs in the northern region towards the fag end of the monsoon season this year is noticeably above normal, which augurs well not only for the agricultural sector, but also for provision of drinking water.",/news/punjab/storage-in-dams-better-than-10-yr-average/835580.html
Cong MLA seeks closure of toll plaza at Fazilka-Ferozepur,05 Sep 2019 | 6:47 AM,"FAZILKA: After cracking the whip on sand mafia last week, Fazilka Congress legislator Davinder Singh Ghubaya has sought closure of the Fazilka-Ferozepur toll plaza in the interest of the people.",/news/punjab/cong-mla-seeks-closure-of-toll-plaza-at-fazilka-ferozepur/827848.html
"1 lakh cattle on the loose, claim 100 lives a year in Punjab",02 Sep 2019 | 6:46 AM,"CHANDIGARH: The state is paying a heavy price as the successive governments have failed to rein in the stray cattle menace. Every third day, a death or an injury due to mishaps involving stray cattle is being reported in the state.",/news/punjab/1-lakh-cattle-on-the-loose-claim-100-lives-a-year-in-punjab/826294.html
"Illegal mining on panchayat land in Moga, admn denies",28 Aug 2019 | 6:50 AM,MOGA: Illegal mining allegedly in connivance with politicians of the ruling Congress and officials of the Rural Development and Panchayat Department has been reported on panchayat land at Mahron village in Moga district.,/news/punjab/illegal-mining-on-panchayat-land-in-moga-admn-denies/823773.html
Project to shift Patiala dairies hangs fire,27 Aug 2019 | 6:55 AM,PATIALA: The much-hyped dairy shifting project of the Patiala Municipal Corporation hangs fire. The MC has not been able to shift dairies from the inner parts of the walled city despite being fully aware of the fact that drains often get choked during monsoon due to cow dung.,/news/punjab/project-to-shift-patiala-dairies-hangs-fire/823240.html
LS to examine ‘breach’ of privilege by Sukhbir,26 Aug 2019 | 6:55 AM,NEW DELHI: The move by the Punjab Legislative Assembly to refer a breach of privilege against its former member and now Ferozepur MP Sukhbir Singh Badal to the Lok Sabha would follow a process established in the procedure.,/news/punjab/ls-to-examine-breach-of-privilege-by-sukhbir/822794.html
Bhakra water level to be reduced by 5 ft,22 Aug 2019 | 6:45 AM,"CHANDIGARH: While reducing the outflow from Bhakra Dam’s floodgates tonight, the authorities have decided to bring down the water level in the reservoir, which is hovering near the top mark.",/news/punjab/bhakra-water-level-to-be-reduced-by-5-ft/820722.html
